date,close,volume,open,high,low
16-01-18,41.05,786664,40.98,41.08,40.85
12-01-18,41.16,73785,40.87,41.2,40.77
11-01-18,40.545,132747,40.63,40.8,40.35
10-01-18,39.65,138707,40.08,40.08,39.64
09-01-18,39.2,74767,38.71,39.23,38.71
08-01-18,38.66,116079,38.67,38.8,38.6
05-01-18,38.55,67042,38.645,38.69,38.39
04-01-18,38.45,277219,38.655,38.8,38.45
03-01-18,37.85,267661,37.68,38.03,37.57
02-01-18,37.4,65431,37.5,37.55,37.35
29-12-17,37.35,61545,37.35,37.54,37.27
28-12-17,37.53,61364,37.51,37.62,37.37
27-12-17,37.32,74045,37.44,37.455,37.17
26-12-17,37.55,113057,37.51,37.63,37.35
22-12-17,37.5,91238,37.19,37.51,37.15
21-12-17,37.45,116411,37.32,37.71,37.28
20-12-17,37.15,1699135,37.266,37.45,37.12
19-12-17,37.335,295396,37.63,37.69,37.28
18-12-17,37.26,254671,37.51,37.64,37.24
15-12-17,37.01,101027,37.1,37.15,36.89
14-12-17,37.38,223346,38,38.07,37.31
13-12-17,37.92,117638,37.95,38.06,37.777
12-12-17,38.08,64907,37.99,38.145,37.894
11-12-17,38.08,125370,38.228,38.26,37.95
08-12-17,38.415,82116,38.53,38.6,38.15
07-12-17,37.17,109377,37.06,37.36,37.06
06-12-17,37.16,320440,37.15,37.25,36.97
05-12-17,37.38,142463,37.47,37.79,37.36
04-12-17,38.04,215217,38.08,38.15,37.9
01-12-17,37.79,157731,37.738,37.9,37.387
30-11-17,37.98,161896,38.39,38.39,37.88
29-11-17,37.925,133294,38.285,38.47,37.81
28-11-17,38.045,80608,37.83,38.1,37.71
27-11-17,37.56,83634,37.72,37.97,37.56
24-11-17,38.09,31551,38.08,38.12,37.92
22-11-17,37.12,68697,37.42,37.54,37.05
21-11-17,37.07,107467,37.145,37.2,36.87
20-11-17,37,84784,37,37.07,36.89
17-11-17,37.225,71153,37.172,37.32,37.096
16-11-17,37.624,96901,37.66,37.66,37.48
15-11-17,37.65,174595,37.15,37.79,37.14
14-11-17,37.37,493288,37.205,37.48,37.11
13-11-17,37.59,103006,37,37.59,36.87
10-11-17,37.74,59864,37.92,38.01,37.69
09-11-17,37.54,78088,37.69,37.76,37.3
08-11-17,37.57,171929,37.335,37.9095,37.285
07-11-17,37.5,1031423,37.848,37.848,37.29
06-11-17,37.775,63095,37.56,37.8,37.475
03-11-17,38.2,94412,38.455,38.455,38.0101
02-11-17,38.58,86347,38.25,38.73,38.19
01-11-17,38.24,71710,38.41,38.59,38.24
31-10-17,39.118,61228,38.785,39.18,38.73
30-10-17,40.06,68649,39.98,40.17,39.94
27-10-17,39.72,62533,39.73,39.92,39.6
26-10-17,39.86,64271,40,40.12,39.86
25-10-17,39.7,152587,40.09,40.17,39.46
24-10-17,40,70767,40.03,40.18,39.9
23-10-17,39.84,133207,39.925,39.97,39.71
20-10-17,40.04,56811,40.34,40.34,39.97
19-10-17,40,54135,39.73,40.06,39.7
18-10-17,39.79,54442,39.7,39.9,39.63
17-10-17,38.96,60482,39.05,39.2,38.92
16-10-17,39.11,415405,39.065,39.17,38.96
13-10-17,39.075,34766,39.2,39.296,39
12-10-17,39.395,65649,39.44,39.54,39.33
11-10-17,40.011,107478,39.6,40.06,39.565
10-10-17,40.134,204284,39.78,40.15,39.67
09-10-17,39.86,167928,39.88,39.95,39.75
06-10-17,40.28,48135,40.1,40.28,40
05-10-17,40.195,45463,39.788,40.27,39.782
04-10-17,39.57,88118,39.62,39.75,39.45
03-10-17,40.43,69495,40.44,40.49,40.25
02-10-17,40.28,146442,40.07,40.41,39.98
29-09-17,40.43,52638,40.04,40.47,40.04
28-09-17,39.98,72177,39.905,40.02,39.64
27-09-17,39.82,43499,39.79,39.85,39.544
26-09-17,38.86,66723,39.2,39.2,38.81
25-09-17,39.29,187978,39.46,39.53,39.15
22-09-17,40.25,83475,40.15,40.3,40.14
21-09-17,39.85,92589,39.94,39.98,39.84
20-09-17,39.58,100579,39.56,39.75,39.28
19-09-17,39.72,57957,39.59,39.75,39.44
18-09-17,39.68,82272,39.59,39.71,39.48
15-09-17,39.49,366809,39.44,39.68,39.33
14-09-17,39.69,463047,39.685,39.824,39.51
13-09-17,39.47,47076,39.62,39.68,39.4
12-09-17,39.57,657358,39.38,39.65,39.28
11-09-17,38.39,214891,38.334,38.6,38.334
08-09-17,37.85,75466,38.04,38.11,37.85
07-09-17,37.63,86927,38.095,38.095,37.56
06-09-17,37.47,77336,37.49,37.68,37.29
05-09-17,37.13,98393,37.74,37.814,36.94
01-09-17,38.19,130430,38.34,38.43,38.18
31-08-17,38.155,100101,38.11,38.25,37.95
30-08-17,37.62,179891,37.84,37.84,37.6
29-08-17,38.1875,152449,38.02,38.25,37.95
28-08-17,38.36,42286,38.46,38.49,38.25
25-08-17,38.34,132098,38.2,38.49,38.13
24-08-17,37.98,85058,38.214,38.233,37.95
23-08-17,37.91,102916,38.072,38.12,37.84
22-08-17,38.36,87449,38.27,38.42,38.22
21-08-17,38.25,80578,38.12,38.35,37.93
18-08-17,38.78,158598,38.46,38.86,38.38
17-08-17,38.45,630419,38.77,38.93,38.45
16-08-17,39.5,136802,39.618,39.72,39.4
15-08-17,39.59,57129,39.465,39.64,39.35
14-08-17,39.38,163773,39.36,39.575,39.26
11-08-17,38.81,114176,39.04,39.072,38.6501
10-08-17,38.915,52323,39.24,39.24,38.8
09-08-17,39.55,62363,39.24,39.62,39.184
08-08-17,40.25,36730,40.62,40.62,40.22
07-08-17,40.44,43681,40.19,40.47,40.19
04-08-17,40.12,183470,40.14,40.21,39.9
03-08-17,39.99,44685,39.777,40.01,39.53
02-08-17,39.446,85963,39.41,39.6,39.333
01-08-17,39.57,72934,39.56,39.61,39.31
31-07-17,38.85,70917,38.68,38.85,38.63
28-07-17,38.96,85217,38.91,39.02,38.705
27-07-17,38.3,59468,38.53,38.57,38.19
26-07-17,38.32,108636,38.32,38.51,38.18
25-07-17,38.11,82759,38.285,38.4,37.99
24-07-17,37.53,66778,37.61,37.69,37.32
21-07-17,37.26,832723,37.218,37.3,36.953
20-07-17,37.47,35924,37.374,37.47,37.26
19-07-17,37.57,74370,37.27,37.57,37.21
18-07-17,37.55,229601,37.44,37.67,37.34
17-07-17,37.84,54907,37.77,37.91,37.7
14-07-17,38.19,86817,37.85,38.308,37.68
13-07-17,38.22,1149691,38.17,38.35,38
12-07-17,37.83,166112,37.831,37.91,37.68
11-07-17,37.58,87501,37.59,37.59,37.24
10-07-17,37.56,134857,37.31,37.62,37.3
07-07-17,37.67,194032,37.5,37.67,37.25
06-07-17,37.256,207476,37.09,37.522,37.035
05-07-17,36.78,48732,36.8,36.84,36.485
03-07-17,36.87,55565,36.445,36.88,36.4
30-06-17,36.36,128287,36.43,36.46,35.88
29-06-17,36.46,876233,37.21,37.22,36.35
28-06-17,36.52,265514,36.22,36.71,36.22
27-06-17,35.62,54991,35.46,35.665,35.28
26-06-17,34.63,59788,34.785,34.905,34.43
23-06-17,34.37,93913,34.388,34.54,34.274
22-06-17,34.42,139290,34.32,34.59,34.25
21-06-17,34.6,61774,34.636,34.79,34.57
20-06-17,34.855,60075,35.26,35.31,34.7
19-06-17,35.43,78035,35.38,35.57,35.21
16-06-17,34.9,49952,34.66,34.926,34.66
15-06-17,34.62,113186,34.36,34.62,34.31
14-06-17,35.185,77309,35.42,35.5,35.08
13-06-17,35.74,163567,35.64,35.85,35.44
12-06-17,35.46,74023,35.59,35.68,35.22
09-06-17,35.95,130891,36.14,36.34,35.93
08-06-17,35.94,208721,35.495,35.95,35.46
07-06-17,35.86,266863,36.15,36.17,35.6
06-06-17,35.39,111813,35.2,35.43,35.13
05-06-17,35.515,96070,35.42,35.63,35.335
02-06-17,35.916,418425,35.88,36.01,35.7
01-06-17,35.8,207939,35.2,35.8,35.11
31-05-17,35.34,176884,35.825,35.89,35.34
30-05-17,35.545,2136693,35.4,35.62,35.26
26-05-17,36.02,2815025,35.76,36.09,35.76
25-05-17,36.28,1712315,36.22,36.38,35.8
24-05-17,36.225,160767,36.08,36.38,35.9
23-05-17,37.42,138144,37.16,37.47,36.998
22-05-17,37,79910,36.99,37.18,36.85
19-05-17,36.81,111966,36.525,37.06,36.525
18-05-17,35.985,98103,35.88,36.06,35.66
17-05-17,36.13,123078,36.61,36.82,35.91
16-05-17,37.45,106803,37.24,37.46,37.104
15-05-17,36.965,112520,36.315,37.01,36.315
12-05-17,36.6,374587,36.29,36.6,36.21
11-05-17,36.235,139902,36.22,36.28,35.88
10-05-17,36.46,143953,36.33,36.46,36.19
09-05-17,36.36,170623,36.575,36.62,36.1
