date,close,volume,open,high,low
16-01-18,18.32,0,18.32,18.32,18.32
12-01-18,18.32,560,18.32,18.32,18.32
11-01-18,17.93,0,17.93,17.93,17.93
10-01-18,17.93,0,17.93,17.93,17.93
09-01-18,17.93,0,17.93,17.93,17.93
08-01-18,17.93,560,17.93,17.93,17.93
05-01-18,17.55,0,17.55,17.55,17.55
04-01-18,17.55,1443,17.55,17.55,17.55
03-01-18,16.41,0,16.41,16.41,16.41
02-01-18,16.41,0,16.41,16.41,16.41
29-12-17,16.41,2790,16.41,16.41,16.41
28-12-17,16.65,0,16.65,16.65,16.65
27-12-17,16.65,0,16.65,16.65,16.65
26-12-17,16.65,0,16.65,16.65,16.65
22-12-17,16.65,0,16.65,16.65,16.65
21-12-17,16.65,0,16.65,16.65,16.65
20-12-17,16.65,200,16.66,16.66,16.65
19-12-17,16.83,950,16.83,16.83,16.83
18-12-17,17.3,0,17.3,17.3,17.3
15-12-17,17.3,0,17.3,17.3,17.3
14-12-17,17.3,0,17.3,17.3,17.3
13-12-17,17.3,0,17.3,17.3,17.3
12-12-17,17.3,100,17.3,17.3,17.3
11-12-17,17.41,1974,17.3675,17.41,17.3675
08-12-17,16.6884,0,16.6884,16.6884,16.6884
07-12-17,16.6884,4124,16.6884,16.6884,16.6884
06-12-17,16.55,0,16.55,16.55,16.55
05-12-17,16.55,0,16.55,16.55,16.55
04-12-17,16.55,0,16.55,16.55,16.55
01-12-17,16.55,0,16.55,16.55,16.55
30-11-17,16.55,0,16.55,16.55,16.55
29-11-17,16.55,0,16.55,16.55,16.55
28-11-17,16.55,650,16.55,16.55,16.55
27-11-17,16.6,0,16.6,16.6,16.6
24-11-17,16.6,0,16.6,16.6,16.6
22-11-17,16.6,0,16.6,16.6,16.6
21-11-17,16.6,0,16.6,16.6,16.6
20-11-17,16.6,0,16.6,16.6,16.6
17-11-17,16.6,0,16.6,16.6,16.6
16-11-17,16.6,0,16.6,16.6,16.6
15-11-17,16.6,0,16.6,16.6,16.6
14-11-17,16.6,0,16.6,16.6,16.6
13-11-17,16.6,0,16.6,16.6,16.6
10-11-17,16.6,0,16.6,16.6,16.6
09-11-17,16.6,0,16.6,16.6,16.6
08-11-17,16.6,100,16.6,16.6,16.6
07-11-17,18.18,0,18.18,18.18,18.18
06-11-17,18.18,0,18.18,18.18,18.18
03-11-17,18.18,0,18.18,18.18,18.18
02-11-17,18.18,0,18.18,18.18,18.18
01-11-17,18.18,0,18.18,18.18,18.18
31-10-17,18.18,0,18.18,18.18,18.18
30-10-17,18.18,0,18.18,18.18,18.18
27-10-17,18.18,0,18.18,18.18,18.18
26-10-17,18.18,0,18.18,18.18,18.18
25-10-17,18.18,138,18.18,18.18,18.18
24-10-17,17.6,0,17.6,17.6,17.6
23-10-17,17.6,0,17.6,17.6,17.6
20-10-17,17.6,0,17.6,17.6,17.6
19-10-17,17.6,200,17.6,17.6,17.6
18-10-17,18.2589,0,18.2589,18.2589,18.2589
17-10-17,18.2589,0,18.2589,18.2589,18.2589
16-10-17,18.2589,0,18.2589,18.2589,18.2589
13-10-17,18.2589,0,18.2589,18.2589,18.2589
12-10-17,18.2589,0,18.2589,18.2589,18.2589
11-10-17,18.2589,0,18.2589,18.2589,18.2589
10-10-17,18.2589,0,18.2589,18.2589,18.2589
09-10-17,18.2589,0,18.2589,18.2589,18.2589
06-10-17,18.2589,0,18.2589,18.2589,18.2589
05-10-17,18.2589,250,18.2589,18.2589,18.2589
04-10-17,17.3,0,17.3,17.3,17.3
03-10-17,17.3,0,17.3,17.3,17.3
02-10-17,17.3,0,17.3,17.3,17.3
29-09-17,17.3,0,17.3,17.3,17.3
28-09-17,17.3,0,17.3,17.3,17.3
27-09-17,17.3,0,17.3,17.3,17.3
26-09-17,17.3,0,17.3,17.3,17.3
25-09-17,17.3,0,17.3,17.3,17.3
22-09-17,17.3,0,17.3,17.3,17.3
21-09-17,17.3,0,17.3,17.3,17.3
20-09-17,17.3,0,17.3,17.3,17.3
19-09-17,17.3,0,17.3,17.3,17.3
18-09-17,17.3,0,17.3,17.3,17.3
15-09-17,17.3,0,17.3,17.3,17.3
14-09-17,17.3,0,17.3,17.3,17.3
13-09-17,17.3,0,17.3,17.3,17.3
12-09-17,17.3,0,17.3,17.3,17.3
11-09-17,17.3,0,17.3,17.3,17.3
