date,close,volume,open,high,low
16-01-18,112.27,22700360,111.51,113.43,111.07
12-01-18,112.67,18879820,111.65,112.85,110.84
11-01-18,110.84,13628880,110.67,110.929,110.051
10-01-18,110.25,15829450,109.47,110.7,109.39
09-01-18,109.05,13182010,108.72,109.63,108.49
08-01-18,108.5,12466000,108.15,108.68,107.7
05-01-18,108.34,14144400,109.26,109.55,107.775
04-01-18,109.04,12951630,108.36,110.03,108.2
03-01-18,108.06,11895160,107.86,108.49,107.48
02-01-18,107.95,13571680,107.63,108.02,106.8056
29-12-17,106.94,8908518,108.09,108.28,106.94
28-12-17,107.79,7435961,107.4,107.84,107.1601
27-12-17,107.22,9492739,106.67,107.29,106.67
26-12-17,107.02,7399606,107.2,107.99,106.4
22-12-17,107.45,14568030,108.2,108.46,106.805
21-12-17,107.83,12321880,106.59,108.07,106.56
20-12-17,106.14,13083590,107.6,107.7305,106.09
19-12-17,106.51,12146210,107.35,107.49,106.44
18-12-17,106.96,12698440,107.19,107.63,106.48
15-12-17,106.14,29348390,105.79,106.52,105.2
14-12-17,104.66,13030710,106.12,106.45,104.64
13-12-17,105.51,15016890,106.7,107.11,105.48
12-12-17,106.85,15491780,105.92,107.37,105.54
11-12-17,105.62,10587320,105.72,106.06,105.31
08-12-17,105.93,13501810,105.08,105.94,104.34
07-12-17,104.62,13370270,103.95,105.185,103.73
06-12-17,104.93,15329540,105.41,105.76,104.525
05-12-17,105.72,17185270,107.17,107.41,104.12
04-12-17,106.95,23563600,107.73,108.4,106.77
01-12-17,104.79,19678760,104.9,105.316,102.2
30-11-17,104.52,23931080,104.74,106.66,104.04
29-11-17,103.73,21066830,102.41,104.22,101.96
28-11-17,101.36,16758450,98.21,101.7,97.97
27-11-17,97.93,13070120,98.31,99.13,97.93
24-11-17,98.32,3680043,98.83,98.9,98.26
22-11-17,98.64,7341754,99.03,99.5239,98.59
21-11-17,98.93,13383660,99.5,99.55,98.91
20-11-17,99.01,9476149,98.45,99.145,97.76
17-11-17,98.14,9005339,97.82,98.41,97.57
16-11-17,98.47,9777011,98.53,99.06,98.31
15-11-17,98.19,15367530,96.39,98.74,95.95
14-11-17,97.27,11040270,97.34,97.78,96.85
13-11-17,97.86,9295198,96.69,98.05,96.62
10-11-17,97.51,9312305,97.81,98.34,97.5
09-11-17,97.63,13692330,97.12,98.215,96.81
08-11-17,97.64,18517300,98.27,98.37,97.15
07-11-17,98.75,18807990,100.56,100.75,98.25
06-11-17,100.78,8115897,101.34,101.6874,100.66
03-11-17,101.41,7101445,101.1,101.525,100.73
02-11-17,101.59,8723237,100.87,101.765,100.16
01-11-17,100.92,8413360,101.1,101.7,100.73
31-10-17,100.61,8667049,101.37,101.7,100.57
30-10-17,101.41,8838731,101.13,101.93,100.87
27-10-17,101.77,10399390,101.43,102.2263,101.05
26-10-17,101.74,13050550,101.35,102.4201,101.32
25-10-17,101.02,14631320,101.25,101.45,100.19
24-10-17,100.92,12906300,99.88,101.19,99.76
23-10-17,99.34,9228003,99.51,99.99,99.24
20-10-17,99.51,15295510,99.28,99.89,98.7301
19-10-17,98.11,9133800,97.19,98.2,97.09
18-10-17,97.99,10149270,98.15,98.55,97.63
17-10-17,97.62,10334910,98.07,98.179,97.32
16-10-17,97.84,12428820,96.34,97.95,96.34
13-10-17,95.86,13183300,95.48,96.71,94.96
12-10-17,95.99,18423690,97.3,97.5,95.62
11-10-17,96.84,14264090,96.83,97.01,96.14
10-10-17,97.13,10623290,96.455,97.18,96.24
09-10-17,96.41,7760096,96.96,97.07,96.14
06-10-17,96.92,10213870,97.55,97.64,96.47
05-10-17,97.09,14232040,96,97.4,95.55
04-10-17,96.36,12159660,97.3,97.44,96.28
03-10-17,97.35,9626282,96.83,97.43,96.7739
02-10-17,96.84,13761670,95.77,96.88,95.46
29-09-17,95.51,11385400,95.3,95.52,95.02
28-09-17,95.38,10270370,95.59,95.88,94.91
27-09-17,95.18,14997730,94.97,95.72,94.58
26-09-17,93.7,9346632,93.78,94.03,93.341
25-09-17,94.12,10456630,94.51,94.88,93.45
22-09-17,94.83,8350317,94.7,94.98,94.43
21-09-17,95.03,10843190,94.46,95.37,94.19
20-09-17,94.6,15307370,94.1,95.29,93.71
19-09-17,93.94,12621780,92.71,94.36,92.52
18-09-17,92.92,11317260,91.93,93.135,91.85
15-09-17,91.62,18159180,91.08,91.71,90.76
14-09-17,90.97,10552610,91.2,91.53,90.74
13-09-17,91.15,12475660,90.61,91.5,90.32
12-09-17,90.89,13995240,90.17,91.25,90.1
11-09-17,89.79,13215440,89.39,90.25,88.95
08-09-17,88.42,14232050,88.31,89.42,88.24
07-09-17,88.53,14591010,90.11,90.13,88.08
06-09-17,90.11,11774220,90,90.5172,89.64
05-09-17,89.51,17014020,91.02,91.105,89.0243
01-09-17,91.7,9814834,91.25,92.36,90.95
31-08-17,90.89,13215110,91.81,91.85,90.8
30-08-17,91.31,9159627,91.25,91.875,91.19
29-08-17,91.1,10872900,90.45,91.31,90.31
28-08-17,91.6,7244324,92.16,92.19,91.13
25-08-17,91.89,11776770,91.88,92.48,91.8
24-08-17,91.52,8623165,91.93,92.12,91.41
23-08-17,91.67,8802146,90.87,92.34,90.84
22-08-17,91.56,9192696,91.07,91.71,91
21-08-17,90.63,10824350,90.85,90.94,90.16
18-08-17,90.74,12936300,90.31,91.54,90.19
17-08-17,90.65,13524300,91.76,91.96,90.5
16-08-17,92.09,11073020,93.04,93.23,91.88
15-08-17,92.73,8812462,93.31,93.56,92.65
14-08-17,92.49,10985030,92.37,92.9,92.33
11-08-17,91.42,10664840,92.13,92.67,91.24
10-08-17,92.19,13189350,92.9,93.07,92.07
09-08-17,93.53,11203530,92.98,93.68,92.83
08-08-17,93.68,13742970,93.95,95.2193,93.6
07-08-17,94.02,7971792,93.89,94.19,93.71
04-08-17,93.66,14314130,93.5,94.4,93.471
03-08-17,92.5,11072450,92.7,93.13,92.235
02-08-17,93.11,10156790,92.865,93.21,92.505
01-08-17,93.03,12467650,92.49,93.14,92.28
31-07-17,91.8,11513330,91.51,92.36,91.5
28-07-17,91.28,9351715,91.45,91.75,90.905
27-07-17,91.55,12324630,91.83,92.06,91.16
26-07-17,91.93,11810320,93.1,93.19,91.68
25-07-17,92.8,16443930,92.37,93.52,92.27
24-07-17,91.28,10719270,90.96,91.54,90.91
21-07-17,90.89,10970710,91.06,91.36,90.52
20-07-17,91.2,11556850,91.15,91.72,90.9
19-07-17,91.2,11642710,91.34,91.6199,91.001
18-07-17,91.07,14709530,90.45,91.58,90.32
17-07-17,91.39,14328720,91.82,91.99,91.25
14-07-17,92.25,22213380,90.81,92.605,90.58
13-07-17,93.1,12796040,92.69,93.38,92.34
12-07-17,92.51,13538860,92.61,92.83,92.07
11-07-17,92.83,13252240,93.33,93.33,92.28
10-07-17,93.19,13913110,93.5,93.68,93.09
07-07-17,93.85,12494720,93.96,94.17,93.23
06-07-17,93.38,16590710,93.54,94.51,92.88
05-07-17,93.68,17516980,93.12,93.79,92.61
03-07-17,92.75,13208090,91.56,93.48,91.41
30-06-17,91.4,16880080,91.96,92,91.16
29-06-17,91.15,27686330,92.34,92.65,90.31
28-06-17,89.82,17387500,88.6,90.07,88.6
27-06-17,88.05,15403620,87.71,88.94,87.5
26-06-17,87.24,10080920,87.01,87.67,86.615
23-06-17,86.86,18803420,87.66,88,86.61
22-06-17,87.02,12178690,86.93,87.36,86.65
21-06-17,87.12,9999202,87.48,87.545,86.76
20-06-17,87.52,11189920,87.75,87.92,87.37
19-06-17,88.07,15872500,86.97,88.23,86.85
16-06-17,86.18,16870540,86.85,86.96,86.015
15-06-17,86.57,12509680,86.25,87.08,86.24
14-06-17,87.09,16132440,86.77,87.31,85.82
13-06-17,87.27,12541830,87.55,87.85,86.98
12-06-17,86.98,16027580,87.32,87.74,86.29
09-06-17,86.96,19077040,85.51,87.05,85.39
08-06-17,84.95,17887320,83.91,85.7302,83.89
07-06-17,83.91,13701000,83.31,84.1052,83.1
06-06-17,82.96,12187210,82.29,83.215,82.13
05-06-17,82.79,9069111,82.64,83.51,82.58
02-06-17,82.64,14973620,82.29,82.99,81.98
01-06-17,83.06,17098250,82.46,83.08,81.65
31-05-17,82.15,28308020,83.73,83.82,81.635
30-05-17,83.9,12591880,85.13,85.15,83.78
26-05-17,85.36,8111823,85.11,85.56,85.02
25-05-17,85.35,12237710,85.99,86.08,85.08
24-05-17,85.71,9915730,85.88,85.97,85.24
23-05-17,85.76,11749300,84.75,86.07,84.51
22-05-17,84.7,11627200,85.18,85.29,84.21
19-05-17,84.78,13390940,84.21,85.34,84.15
18-05-17,83.96,23342620,84.07,84.8,83.36
17-05-17,84.27,24664200,86.11,86.39,83.97
16-05-17,87.61,9786440,87.36,88.09,87.34
15-05-17,87.34,8777861,87.1,87.49,86.86
12-05-17,86.92,8737097,86.68,87.0484,86.3399
11-05-17,87.16,10899810,87.09,87.48,86.35
10-05-17,87.43,8325757,86.529,87.48,86.47
09-05-17,86.75,10257780,87.26,87.84,86.5
08-05-17,87.1,8161744,87.04,87.3198,86.6481
05-05-17,87,9429564,87.25,87.34,86.42
04-05-17,87.1,11537500,87.69,87.73,86.57
03-05-17,87,11533590,86.06,87.1,86.02
02-05-17,86.5,14116010,86.71,86.88,86.02
01-05-17,87.06,15701860,87.36,87.74,86.56
28-04-17,87,10754410,87.6,87.85,86.95
27-04-17,87.61,13321400,88.37,88.37,87.01
26-04-17,88.43,12827000,88.35,89.05,88.14
25-04-17,88.26,18245360,88.55,89.13,88.26
24-04-17,87.5,25407580,86.55,88.05,86.42
21-04-17,84.52,19801590,85.5,85.68,84.51
20-04-17,85.55,15609030,84.98,85.78,84.55
19-04-17,84.46,17578440,85.5,85.92,84.36
18-04-17,85.16,14099770,85.36,85.63,84.74
17-04-17,85.86,19041960,84.44,86.08,84.37
13-04-17,84.4,30507690,85.5,86.99,84.4
12-04-17,85.4,14705880,85.93,85.95,85.03
11-04-17,85.73,14683600,85.54,85.79,84.8
10-04-17,85.88,15076260,86.08,86.69,85.4
07-04-17,86.18,13079920,85.93,86.81,85.71
06-04-17,86.48,14349040,85.98,86.91,85.25
05-04-17,86.19,17601320,88.42,88.54,86.13
04-04-17,87.31,14272880,86.89,87.67,86.715
03-04-17,87.52,19823640,87.99,88.17,86.6
31-03-17,87.84,16982580,88.71,88.7397,87.75
30-03-17,89.03,11628770,88.2,89.46,88.12
29-03-17,88.27,10206830,88.6,88.82,88.08
28-03-17,88.6,16248660,87.02,89.02,86.98
27-03-17,87.24,16679180,85.53,87.401,85.23
24-03-17,87.29,16090870,87.79,88.09,86.77
23-03-17,87.39,16086820,87.21,88.5,87.09
22-03-17,87.53,21728520,86.89,88.07,86.01
21-03-17,87.39,33058980,90.36,90.64,87.06
20-03-17,90.03,14623410,90.27,91.17,89.79
17-03-17,90.68,21722980,91.83,92.04,90.65
16-03-17,91.64,14418810,92.03,92.8057,91.57
15-03-17,91.73,16595620,91.8,92.55,91.13
14-03-17,91.51,10224780,91.02,91.65,90.765
13-03-17,91.36,10001690,91.31,91.78,90.931
10-03-17,91.28,13728160,91.95,92,90.53
09-03-17,91.57,13719280,91.6,92.14,91.15
08-03-17,91.21,17373980,92.68,92.851,91.1
07-03-17,91.41,11149530,91.64,92.09,91.21
06-03-17,91.92,15052230,92.25,92.32,91.1
03-03-17,92.8,12821140,92.23,93.11,92.19
02-03-17,92.14,16813030,93.87,93.92,92.03
01-03-17,93.6,24449860,92.79,93.98,92.61
28-02-17,90.62,15180450,89.845,90.82,89.585
27-02-17,90.43,12347880,90.32,90.725,90.02
24-02-17,90.33,15054760,90.18,90.54,89.73
23-02-17,91.13,11058950,91.18,91.34,90.52
22-02-17,91.06,11829720,90.52,91.3,90.42
21-02-17,91.01,14067110,90.51,91.15,90.46
17-02-17,90.23,15719390,89.82,90.465,89.69
16-02-17,90.53,17654840,90.4,91.04,89.77
15-02-17,90.59,17342480,90.08,90.87,89.35
14-02-17,89.56,17929290,88.3,89.7,88.1063
13-02-17,88.15,18566120,87.44,88.74,87.43
10-02-17,87,10990300,87.48,87.48,86.89
09-02-17,87.2,13745750,86.42,87.33,86.13
08-02-17,85.96,13970180,86.18,86.31,85.37
07-02-17,86.72,9400056,87.14,87.4,86.48
06-02-17,86.77,11821920,86.79,87.45,86.61
03-02-17,87.18,17874820,86.19,87.31,85.865
02-02-17,84.59,11080030,84.34,84.91,84.16
01-02-17,84.95,15424860,85.54,86.1,84.68
31-01-17,84.63,15639240,85.6,86.15,84.09
30-01-17,86.03,13647020,86.19,86.5,85.32
27-01-17,86.93,12533650,86.66,86.98,86.27
26-01-17,86.75,15959340,85.95,86.95,85.95
25-01-17,86.03,17524020,85.84,86.17,85.17
24-01-17,84.72,15164580,83.92,85,83.56
23-01-17,83.71,12169560,83.3,84,83.205
20-01-17,83.67,18427620,83.43,83.83,83.285
19-01-17,83.3,16543450,84.06,84.67,83.12
18-01-17,83.94,21256180,83.63,84.23,83.03
17-01-17,83.55,30008910,84.93,85.22,83.28
13-01-17,86.7,28261840,87.11,88.17,86.1
12-01-17,86.24,21301690,86.76,87.27,86.02
11-01-17,87.08,14695730,86.43,87.08,85.91
10-01-17,86.43,13983480,86.07,86.9,85.72
09-01-17,86.18,12794220,85.73,86.77,85.52
06-01-17,86.12,12882710,86.39,86.62,85.94
05-01-17,86.11,14296000,86.81,87.11,85.2589
04-01-17,86.91,15254070,86.96,87.18,86.4
03-01-17,87.23,20539070,87.34,87.76,85.98
30-12-16,86.29,13615700,86.1,86.42,85.66
29-12-16,85.89,14686680,86.58,86.67,85.04
28-12-16,86.5,9311957,87.16,87.39,86.35
27-12-16,87.13,6932566,87.05,87.16,86.75
23-12-16,87.05,10756280,87,87.15,86.4
22-12-16,86.89,13922580,86.44,87.17,86.21
21-12-16,86.75,11503230,86.43,86.81,86.03
20-12-16,86.53,14576600,85.79,86.54,85.545
19-12-16,85.43,21677790,84.8,85.44,84.19
16-12-16,84.94,22974240,86.29,86.29,84.89
15-12-16,86,19416270,85.4,86.49,84.9
14-12-16,84.73,22620090,83.88,86.12,83.76
13-12-16,84.76,16378730,84.98,85.67,83.82
12-12-16,84.73,14501440,85.36,85.79,84.29
