,TRAINING SET,TRAINING SET SIZE,TESTING SET,TESTING SET SIZE,RESULT,COMPUTATION TIME,,,
0,Apple10years.csv,495,Apple10years.csv,1983,0.925869894,0.003182495,,,
1,Apple10years.csv,495,Bayer10years.csv,1637,0.883934026,0.002547236,,,
2,Apple10years.csv,495,BNPParibas10years.csv.csv,1983,0.936964196,0.002694928,,,
3,Apple10years.csv,495,Cola10years.csv,1983,0.788199697,0.002911908,,,
4,Apple10years.csv,495,Gazprom10years.csv,1983,0.942511346,0.002725196,,,
5,Apple10years.csv,495,McDonalds10years.csv,1983,0.781643974,0.003119772,,,
6,Apple10years.csv,495,Toyota10years.csv,1983,0.83308119,0.002814176,,,
7,Apple10years.csv,495,Unilever10years.csv,1983,0.846192637,0.002736501,,0.951588502,DeutscheBank
8,Apple10years.csv,495,Volkswagen10years.csv,1983,0.922339889,0.002686541,,0.781643974,McDonalds
9,Apple10years.csv,495,Walmart10years.csv,1983,0.809884014,0.002877629,,0.868524517,
10,Bayer10years.csv,409,Apple10years.csv,1983,0.925869894,0.002797037,,,
11,Bayer10years.csv,409,Bayer10years.csv,1637,0.883934026,0.002593914,,,
12,Bayer10years.csv,409,BNPParibas10years.csv.csv,1983,0.936964196,0.002727749,,,
13,Bayer10years.csv,409,Cola10years.csv,1983,0.788199697,0.002651532,,,
14,Bayer10years.csv,409,Gazprom10years.csv,1983,0.942511346,0.002667578,,,
15,Bayer10years.csv,409,McDonalds10years.csv,1983,0.781643974,0.002724831,,,
16,Bayer10years.csv,409,Toyota10years.csv,1983,0.83308119,0.002759475,,,
17,Bayer10years.csv,409,Unilever10years.csv,1983,0.846192637,0.002850643,,0.951588502,DeutscheBank
18,Bayer10years.csv,409,Volkswagen10years.csv,1983,0.922339889,0.002801777,,0.781643974,McDonalds
19,Bayer10years.csv,409,Walmart10years.csv,1983,0.809884014,0.002776615,,0.868524517,
20,BNPParibas10years.csv.csv,495,Apple10years.csv,1983,0.880988401,0.002889663,,,
21,BNPParibas10years.csv.csv,495,Bayer10years.csv,1637,0.874770922,0.002815635,,,
22,BNPParibas10years.csv.csv,495,BNPParibas10years.csv.csv,1983,0.908219869,0.00269274,,,
23,BNPParibas10years.csv.csv,495,Cola10years.csv,1983,0.818456884,0.002784273,,,
24,BNPParibas10years.csv.csv,495,Gazprom10years.csv,1983,0.921835603,0.003105185,,,
25,BNPParibas10years.csv.csv,495,McDonalds10years.csv,1983,0.769036813,0.002769686,,,
26,BNPParibas10years.csv.csv,495,Toyota10years.csv,1983,0.819969743,0.002708421,,,
27,BNPParibas10years.csv.csv,495,Unilever10years.csv,1983,0.799293999,0.003135088,,0.960161372,DeutscheBank
28,BNPParibas10years.csv.csv,495,Volkswagen10years.csv,1983,0.909228442,0.002942905,,0.8698941,McDonalds
29,BNPParibas10years.csv.csv,495,Walmart10years.csv,1983,0.815431165,0.002815999,,0.91894857,
30,Cola10years.csv,495,Apple10years.csv,1983,0.956631367,0.002785732,,,
31,Cola10years.csv,495,Bayer10years.csv,1637,0.93280391,0.002640957,,,
32,Cola10years.csv,495,BNPParibas10years.csv.csv,1983,0.962178517,0.003049754,,,
33,Cola10years.csv,495,Cola10years.csv,1983,0.879475542,0.003095703,,,
34,Cola10years.csv,495,Gazprom10years.csv,1983,0.955118507,0.00347168,,,
35,Cola10years.csv,495,McDonalds10years.csv,1983,0.8698941,0.002805059,,,
36,Cola10years.csv,495,Toyota10years.csv,1983,0.893091276,0.002812353,,,
37,Cola10years.csv,495,Unilever10years.csv,1983,0.907211296,0.00279886,,0.933938477,DeutscheBank
38,Cola10years.csv,495,Volkswagen10years.csv,1983,0.953101362,0.002815635,,0.769036813,McDonalds
39,Cola10years.csv,495,Walmart10years.csv,1983,0.881996974,0.002807247,,0.854295045,
40,Gazprom10years.csv,495,Apple10years.csv,1983,0.880988401,0.002808706,,,
41,Gazprom10years.csv,495,Bayer10years.csv,1637,0.874770922,0.002590632,,,
42,Gazprom10years.csv,495,BNPParibas10years.csv.csv,1983,0.908219869,0.002835692,,,
43,Gazprom10years.csv,495,Cola10years.csv,1983,0.818456884,0.00297135,,,
44,Gazprom10years.csv,495,Gazprom10years.csv,1983,0.921835603,0.00275437,,,
45,Gazprom10years.csv,495,McDonalds10years.csv,1983,0.769036813,0.002800683,,,
46,Gazprom10years.csv,495,Toyota10years.csv,1983,0.819969743,0.002684353,,,
47,Gazprom10years.csv,495,Unilever10years.csv,1983,0.799293999,0.002702586,,0.933938477,DeutscheBank
48,Gazprom10years.csv,495,Volkswagen10years.csv,1983,0.909228442,0.00302678,,0.769036813,McDonalds
49,Gazprom10years.csv,495,Walmart10years.csv,1983,0.815431165,0.00266539,,0.854295045,
50,McDonalds10years.csv,495,Apple10years.csv,1983,0.925869894,0.002710245,,,
51,McDonalds10years.csv,495,Bayer10years.csv,1637,0.883934026,0.002654814,,,
52,McDonalds10years.csv,495,BNPParibas10years.csv.csv,1983,0.936964196,0.003008546,,,
53,McDonalds10years.csv,495,Cola10years.csv,1983,0.788199697,0.002879088,,,
54,McDonalds10years.csv,495,Gazprom10years.csv,1983,0.942511346,0.002717903,,,
55,McDonalds10years.csv,495,McDonalds10years.csv,1983,0.781643974,0.00266539,,,
56,McDonalds10years.csv,495,Toyota10years.csv,1983,0.83308119,0.002735772,,,
57,McDonalds10years.csv,495,Unilever10years.csv,1983,0.846192637,0.002750723,,0.951588502,DeutscheBank
58,McDonalds10years.csv,495,Volkswagen10years.csv,1983,0.922339889,0.002732125,,0.781643974,McDonalds
59,McDonalds10years.csv,495,Walmart10years.csv,1983,0.809884014,0.002712068,,0.868524517,
60,Toyota10years.csv,495,Apple10years.csv,1983,0.880988401,0.00303845,,,
61,Toyota10years.csv,495,Bayer10years.csv,1637,0.874770922,0.002967338,,,
62,Toyota10years.csv,495,BNPParibas10years.csv.csv,1983,0.908219869,0.003075646,,,
63,Toyota10years.csv,495,Cola10years.csv,1983,0.818456884,0.002741971,,,
64,Toyota10years.csv,495,Gazprom10years.csv,1983,0.921835603,0.003256159,,,
65,Toyota10years.csv,495,McDonalds10years.csv,1983,0.769036813,0.002740512,,,
66,Toyota10years.csv,495,Toyota10years.csv,1983,0.819969743,0.002817094,,,
67,Toyota10years.csv,495,Unilever10years.csv,1983,0.799293999,0.002805424,,0.933938477,DeutscheBank
68,Toyota10years.csv,495,Volkswagen10years.csv,1983,0.909228442,0.002917743,,0.769036813,McDonalds
69,Toyota10years.csv,495,Walmart10years.csv,1983,0.815431165,0.002767863,,0.854295045,
70,Unilever10years.csv,495,Apple10years.csv,1983,0.925869894,0.002883464,,,
71,Unilever10years.csv,495,Bayer10years.csv,1637,0.883934026,0.002571669,,,
72,Unilever10years.csv,495,BNPParibas10years.csv.csv,1983,0.936964196,0.002814541,,,
73,Unilever10years.csv,495,Cola10years.csv,1983,0.788199697,0.002766769,,,
74,Unilever10years.csv,495,Gazprom10years.csv,1983,0.942511346,0.002783908,,,
75,Unilever10years.csv,495,McDonalds10years.csv,1983,0.781643974,0.002784273,,,
76,Unilever10years.csv,495,Toyota10years.csv,1983,0.83308119,0.002858666,,,
77,Unilever10years.csv,495,Unilever10years.csv,1983,0.846192637,0.002723373,,0.951588502,DeutscheBank
78,Unilever10years.csv,495,Volkswagen10years.csv,1983,0.922339889,0.003008911,,0.781643974,McDonalds
79,Unilever10years.csv,495,Walmart10years.csv,1983,0.809884014,0.002850279,,0.868524517,
80,Volkswagen10years.csv,495,Apple10years.csv,1983,0.881492688,0.003709082,,,
81,Volkswagen10years.csv,495,Bayer10years.csv,1637,0.875381796,0.002555988,,,
82,Volkswagen10years.csv,495,BNPParibas10years.csv.csv,1983,0.908724155,0.003001253,,,
83,Volkswagen10years.csv,495,Cola10years.csv,1983,0.81896117,0.002912638,,,
