,TRAINING SET,TRAINING SET SIZE,TESTING SET,TESTING SET SIZE,RESULT,COMPUTATION TIME
0,Apple10years.csv,495,Apple10years.csv,1983,0.9258698940998488,0.00298229005451
1,Apple10years.csv,495,Bayer10years.csv,1637,0.8839340256566891,0.00270039836802
2,Apple10years.csv,495,Cola10years.csv,1983,0.7881996974281392,0.00305850656483
3,Apple10years.csv,495,CreditAgricole10years.csv.csv,1983,0.91880988401412,0.00279776587163
4,Apple10years.csv,495,Gazprom10years.csv,1983,0.9425113464447806,0.00283970318592
5,Apple10years.csv,495,McDonalds10years.csv,1983,0.7816439737771054,0.00284553794269
6,Apple10years.csv,495,Toyota10years.csv,1983,0.8330811901159859,0.00271462058765
7,Apple10years.csv,495,Unilever10years.csv,1983,0.8461926374180535,0.00272082001672
8,Apple10years.csv,495,Volkswagen10years.csv,1983,0.9223398890569844,0.00289039263537
9,Apple10years.csv,495,Walmart10years.csv,1983,0.8098840141200202,0.00282183424331
10,Bayer10years.csv,409,Apple10years.csv,1983,0.9258698940998488,0.00276239265871
11,Bayer10years.csv,409,Bayer10years.csv,1637,0.8839340256566891,0.00294874020308
12,Bayer10years.csv,409,Cola10years.csv,1983,0.7881996974281392,0.00286741828059
13,Bayer10years.csv,409,CreditAgricole10years.csv.csv,1983,0.91880988401412,0.00268070606392
14,Bayer10years.csv,409,Gazprom10years.csv,1983,0.9425113464447806,0.00266684851659
15,Bayer10years.csv,409,McDonalds10years.csv,1983,0.7816439737771054,0.00272701944579
16,Bayer10years.csv,409,Toyota10years.csv,1983,0.8330811901159859,0.00277770889523
17,Bayer10years.csv,409,Unilever10years.csv,1983,0.8461926374180535,0.00276275733101
18,Bayer10years.csv,409,Volkswagen10years.csv,1983,0.9223398890569844,0.00276531003709
19,Bayer10years.csv,409,Walmart10years.csv,1983,0.8098840141200202,0.00268982287137
20,Cola10years.csv,495,Apple10years.csv,1983,0.956631366616238,0.00330721307219
21,Cola10years.csv,495,Bayer10years.csv,1637,0.9328039095907147,0.00255124739806
22,Cola10years.csv,495,Cola10years.csv,1983,0.8794755421079173,0.00319927007193
23,Cola10years.csv,495,CreditAgricole10years.csv.csv,1983,0.940494200706001,0.00292795388208
24,Cola10years.csv,495,Gazprom10years.csv,1983,0.9551185073121533,0.00285246671636
25,Cola10years.csv,495,McDonalds10years.csv,1983,0.869894099848714,0.00282146957101
26,Cola10years.csv,495,Toyota10years.csv,1983,0.8930912758446797,0.00280834136828
