date,close,volume,open,high,low
16-01-18,128.16,10618,126.2,128.16,126.05
12-01-18,127.1675,0,127.1675,127.1675,127.1675
11-01-18,127.1675,1183,127.1675,127.1675,127.1675
10-01-18,128.4699,0,128.4699,128.4699,128.4699
09-01-18,128.4699,1720,128.4699,128.4699,128.4699
08-01-18,131.4878,0,131.4878,131.4878,131.4878
05-01-18,131.4878,964,131.4878,131.4878,131.4878
04-01-18,124.61,375,127.06,127.74,124.61
03-01-18,122.65,782,122.7,122.7,122.65
02-01-18,122.69,3671,123.118,123.1625,122.45
29-12-17,123.4,268,123.92,123.92,123.4
28-12-17,123.56,411,124.35,124.35,123.56
27-12-17,123.76,0,123.76,123.76,123.76
26-12-17,123.76,585,125.8,125.8,123.76
22-12-17,123.65,100,123.65,123.65,123.65
21-12-17,123.84,0,123.84,123.84,123.84
20-12-17,123.84,1020,123.8,123.84,123.8
19-12-17,127.6139,0,127.6139,127.6139,127.6139
18-12-17,127.6139,11128,127.6139,127.6139,127.6139
15-12-17,125.2814,0,125.2814,125.2814,125.2814
14-12-17,125.2814,0,125.2814,125.2814,125.2814
13-12-17,125.2814,0,125.2814,125.2814,125.2814
12-12-17,125.2814,5125,125.2814,125.2814,125.2814
11-12-17,122.3875,0,122.3875,122.3875,122.3875
08-12-17,122.3875,0,122.3875,122.3875,122.3875
07-12-17,122.3875,1721,122.3875,122.3875,122.3875
06-12-17,121.9,5088,124.25,124.28,121.9
05-12-17,124.2,1762,124.5875,124.5875,123.95
04-12-17,128.68,0,128.68,128.68,128.68
01-12-17,128.68,0,128.68,128.68,128.68
30-11-17,128.68,0,128.68,128.68,128.68
29-11-17,128.68,0,128.68,128.68,128.68
28-11-17,128.68,7174,128.68,128.68,128.68
27-11-17,128.5326,2128,128.2,128.5326,127.3
24-11-17,128.5,0,128.5,128.5,128.5
22-11-17,128.5,0,128.5,128.5,128.5
21-11-17,128.5,590,127.55,128.5,127.55
20-11-17,127.07,165,127.07,127.07,127.07
17-11-17,127.6,5123,127.57,127.6,127.57
16-11-17,126.97,0,126.97,126.97,126.97
15-11-17,126.97,0,126.97,126.97,126.97
14-11-17,126.97,0,126.97,126.97,126.97
13-11-17,126.97,0,126.97,126.97,126.97
10-11-17,126.97,232,126.97,126.97,126.97
09-11-17,127.45,1060,128.1625,128.1625,127.45
08-11-17,132.7121,0,132.7121,132.7121,132.7121
07-11-17,132.7121,250,132.7121,132.7121,132.7121
06-11-17,134,390,134,134,134
03-11-17,133.3,621,134.5882,134.5882,133.3
02-11-17,131.7,0,131.7,131.7,131.7
01-11-17,131.7,30272,131.74,131.74,131.7
31-10-17,130.4823,0,130.4823,130.4823,130.4823
30-10-17,130.4823,148,130.4823,130.4823,130.4823
27-10-17,135.818,0,135.818,135.818,135.818
26-10-17,135.818,0,135.818,135.818,135.818
25-10-17,135.818,1271,134.05,135.818,134.05
24-10-17,138.55,0,138.55,138.55,138.55
23-10-17,138.55,0,138.55,138.55,138.55
20-10-17,138.55,0,138.55,138.55,138.55
19-10-17,138.55,0,138.55,138.55,138.55
18-10-17,138.55,5508,138.55,138.55,138.55
17-10-17,137.9785,752,137.9785,137.9785,137.9785
16-10-17,139.75,1051,139.255,140.21,139.255
13-10-17,138,0,138,138,138
12-10-17,138,0,138,138,138
11-10-17,138,100,138,138,138
10-10-17,138.4,0,138.4,138.4,138.4
09-10-17,138.4,0,138.4,138.4,138.4
06-10-17,138.4,403,137.7625,138.4,137.7625
05-10-17,133.2,0,133.2,133.2,133.2
04-10-17,133.2,0,133.2,133.2,133.2
03-10-17,133.2,0,133.2,133.2,133.2
02-10-17,133.2,125,133.2,133.2,133.2
29-09-17,137.5,381,137.5,137.5,137.5
28-09-17,130.15,0,130.15,130.15,130.15
27-09-17,130.15,310,130.15,130.15,130.15
26-09-17,131.7452,996,131.7452,131.7452,131.7452
25-09-17,131,210,131,131,131
22-09-17,132,0,132,132,132
21-09-17,132,364,132,132,132
20-09-17,132.25,0,132.25,132.25,132.25
19-09-17,132.25,0,132.25,132.25,132.25
18-09-17,132.25,0,132.25,132.25,132.25
15-09-17,132.25,0,132.25,132.25,132.25
14-09-17,132.25,0,132.25,132.25,132.25
13-09-17,132.25,0,132.25,132.25,132.25
12-09-17,132.25,2784,134.145,134.15,132.25
11-09-17,131.5,606,131.5,131.5,131.5
08-09-17,131.5,338,132.46,132.46,131.5
07-09-17,132.26,855,132.35,132.35,132
06-09-17,129.1,1900,129.625,130.1,128.75
05-09-17,129.2,506,129.2,129.2,129.2
01-09-17,129.9,0,129.9,129.9,129.9
31-08-17,129.9,0,129.9,129.9,129.9
30-08-17,129.9,0,129.9,129.9,129.9
29-08-17,129.9,0,129.9,129.9,129.9
28-08-17,129.9,0,129.9,129.9,129.9
25-08-17,129.9,200,129.9,129.9,129.9
24-08-17,126.05,401,128,128,126.05
23-08-17,126.98,705,126.6,126.98,126.6
22-08-17,126,0,126,126,126
21-08-17,126,0,126,126,126
18-08-17,126,120,126,126,126
17-08-17,125.65,0,125.65,125.65,125.65
16-08-17,125.65,284,125.65,125.65,125.65
15-08-17,125.55,201,125.55,125.55,125.55
14-08-17,126.25,995,125.15,126.25,125.15
11-08-17,124.06,4778,124.06,124.06,124.06
10-08-17,123.79,0,123.79,123.79,123.79
09-08-17,123.79,1685,123.15,123.79,123.15
08-08-17,124,2075,123.85,124,123.55
07-08-17,126.06,0,126.06,126.06,126.06
04-08-17,126.06,413,126.06,126.06,126.06
03-08-17,126.9,170,126.9,126.9,126.9
02-08-17,125.5,669,126.7,126.7,125.5
01-08-17,126.5,872,126.4,126.8,126.4
31-07-17,126.89,0,126.89,126.89,126.89
28-07-17,126.89,29644,126.95,126.95,125.1705
27-07-17,130.95,0,130.95,130.95,130.95
26-07-17,130.95,7700,128.65,130.95,128.65
25-07-17,128.7,2280,130.475,131.05,128.7
24-07-17,128.15,184,128.15,128.15,128.15
21-07-17,128.365,0,128.365,128.365,128.365
20-07-17,128.365,0,128.365,128.365,128.365
19-07-17,128.365,0,128.365,128.365,128.365
18-07-17,128.365,0,128.365,128.365,128.365
17-07-17,128.365,4400,128.315,128.365,128.315
14-07-17,127.44,281,127.44,127.44,127.44
13-07-17,126,0,126,126,126
12-07-17,126,0,126,126,126
11-07-17,126,0,126,126,126
10-07-17,126,10190,126,126,126
07-07-17,126,180,126,126,126
06-07-17,126.55,0,126.55,126.55,126.55
05-07-17,126.55,1100,126.222,126.55,126.2
03-07-17,127.8,0,127.8,127.8,127.8
30-06-17,127.8,412,127.8,127.8,127.8
29-06-17,133.31,987,135.69,135.69,133.31
28-06-17,137.15,0,137.15,137.15,137.15
27-06-17,137.15,3731,137.515,138.93,136.5675
26-06-17,135.05,2913,134.95,135.05,134.95
23-06-17,136,0,136,136,136
22-06-17,136,615,136,136,136
21-06-17,136,275,136,136,136
20-06-17,134.65,219,134.65,134.65,134.65
19-06-17,138,490,138,138,138
16-06-17,133.4,0,133.4,133.4,133.4
15-06-17,133.4,309,133.4,133.4,133.4
14-06-17,136.425,2974,135.8,136.425,135.8
13-06-17,131.75,0,131.75,131.75,131.75
12-06-17,131.75,0,131.75,131.75,131.75
09-06-17,131.75,0,131.75,131.75,131.75
08-06-17,131.75,653,131.769,131.769,131.75
07-06-17,133.1,1625,132.45,133.1,131.5
06-06-17,137.205,0,137.205,137.205,137.205
05-06-17,137.205,219,137.205,137.205,137.205
02-06-17,137.5,492,137.5,137.5,137.5
01-06-17,133,515,133,133,133
31-05-17,129,0,129,129,129
30-05-17,129,0,129,129,129
26-05-17,129,642,129,129,129
25-05-17,132.02,0,132.02,132.02,132.02
24-05-17,132.02,0,132.02,132.02,132.02
23-05-17,132.02,10197,131.35,132.02,131.35
22-05-17,131.2038,0,131.2038,131.2038,131.2038
19-05-17,131.2038,0,131.2038,131.2038,131.2038
18-05-17,131.2038,325,131.22,131.22,131.2038
17-05-17,128,478,128,128,128
16-05-17,131.03,730,128.55,131.03,128.55
15-05-17,126.4,817,127.6,128.47,126.4
12-05-17,126.2,5750,126.2,126.2,126.2
11-05-17,126.4,0,126.4,126.4,126.4
10-05-17,126.4,0,126.4,126.4,126.4
09-05-17,126.4,1354,126.6191,126.6191,126.4
08-05-17,127.65,0,127.65,127.65,127.65
05-05-17,127.65,3944,127.65,127.65,127.65
04-05-17,123.075,0,123.075,123.075,123.075
03-05-17,123.075,0,123.075,123.075,123.075
02-05-17,123.075,0,123.075,123.075,123.075
01-05-17,123.075,455,122,123.075,122
28-04-17,121.51,0,121.51,121.51,121.51
27-04-17,121.51,1660,122.04,122.04,121.51
26-04-17,116.85,434,117.2,117.2,116.85
25-04-17,118.154,451,117.91,118.154,117.91
24-04-17,117.51,1167,118.275,118.3,117.51
21-04-17,111.5,0,111.5,111.5,111.5
20-04-17,111.5,0,111.5,111.5,111.5
19-04-17,111.5,2569,111.5,111.5,111.5
18-04-17,112.65,210,112.65,112.65,112.65
17-04-17,113.4,990,112.65,113.4,112.65
13-04-17,112.65,244,112.65,112.65,112.65
12-04-17,113.25,1000,113.25,113.25,113.25
11-04-17,114.64,0,114.64,114.64,114.64
10-04-17,114.64,1120,114.64,114.64,114.64
07-04-17,115.1,0,115.1,115.1,115.1
06-04-17,115.1,0,115.1,115.1,115.1
05-04-17,115.1,515,114.58,115.68,114.58
04-04-17,114.32,632,114.32,114.32,114.28
03-04-17,114.42,300,116.2,116.2,114.42
31-03-17,114.4,0,114.4,114.4,114.4
30-03-17,114.4,415,114.75,114.76,114.4
29-03-17,114.64,2800,114.9,114.9,114.64
28-03-17,115.45,1333,116.01,116.01,115.45
27-03-17,115.24,1135,115.555,115.555,115.24
24-03-17,114.34,112,114.34,114.34,114.34
23-03-17,113.21,0,113.21,113.21,113.21
