"date","close","volume","open","high","low"
"16:00","128.16","10,618","N/A","128.16","126.05"
"2018/01/16","128.1600","10618.0000","126.2000","128.1600","126.0500"
"2018/01/12","127.1675","0.0000","127.1675","127.1675","127.1675"
"2018/01/11","127.1675","1183.0000","127.1675","127.1675","127.1675"
"2018/01/10","128.4699","0.0000","128.4699","128.4699","128.4699"
"2018/01/09","128.4699","1720.0000","128.4699","128.4699","128.4699"
"2018/01/08","131.4878","0.0000","131.4878","131.4878","131.4878"
"2018/01/05","131.4878","964.0000","131.4878","131.4878","131.4878"
"2018/01/04","124.6100","375.0000","127.0600","127.7400","124.6100"
"2018/01/03","122.6500","782.0000","122.7000","122.7000","122.6500"
"2018/01/02","122.6900","3671.0000","123.1180","123.1625","122.4500"
"2017/12/29","123.4000","268.0000","123.9200","123.9200","123.4000"
"2017/12/28","123.5600","411.0000","124.3500","124.3500","123.5600"
"2017/12/27","123.7600","0.0000","123.7600","123.7600","123.7600"
"2017/12/26","123.7600","585.0000","125.8000","125.8000","123.7600"
"2017/12/22","123.6500","100.0000","123.6500","123.6500","123.6500"
"2017/12/21","123.8400","0.0000","123.8400","123.8400","123.8400"
"2017/12/20","123.8400","1020.0000","123.8000","123.8400","123.8000"
"2017/12/19","127.6139","0.0000","127.6139","127.6139","127.6139"
"2017/12/18","127.6139","11128.0000","127.6139","127.6139","127.6139"
"2017/12/15","125.2814","0.0000","125.2814","125.2814","125.2814"
"2017/12/14","125.2814","0.0000","125.2814","125.2814","125.2814"
"2017/12/13","125.2814","0.0000","125.2814","125.2814","125.2814"
"2017/12/12","125.2814","5125.0000","125.2814","125.2814","125.2814"
"2017/12/11","122.3875","0.0000","122.3875","122.3875","122.3875"
"2017/12/08","122.3875","0.0000","122.3875","122.3875","122.3875"
"2017/12/07","122.3875","1721.0000","122.3875","122.3875","122.3875"
"2017/12/06","121.9000","5088.0000","124.2500","124.2800","121.9000"
"2017/12/05","124.2000","1762.0000","124.5875","124.5875","123.9500"
"2017/12/04","128.6800","0.0000","128.6800","128.6800","128.6800"
"2017/12/01","128.6800","0.0000","128.6800","128.6800","128.6800"
"2017/11/30","128.6800","0.0000","128.6800","128.6800","128.6800"
"2017/11/29","128.6800","0.0000","128.6800","128.6800","128.6800"
"2017/11/28","128.6800","7174.0000","128.6800","128.6800","128.6800"
"2017/11/27","128.5326","2128.0000","128.2000","128.5326","127.3000"
"2017/11/24","128.5000","0.0000","128.5000","128.5000","128.5000"
"2017/11/22","128.5000","0.0000","128.5000","128.5000","128.5000"
"2017/11/21","128.5000","590.0000","127.5500","128.5000","127.5500"
"2017/11/20","127.0700","165.0000","127.0700","127.0700","127.0700"
"2017/11/17","127.6000","5123.0000","127.5700","127.6000","127.5700"
"2017/11/16","126.9700","0.0000","126.9700","126.9700","126.9700"
"2017/11/15","126.9700","0.0000","126.9700","126.9700","126.9700"
"2017/11/14","126.9700","0.0000","126.9700","126.9700","126.9700"
"2017/11/13","126.9700","0.0000","126.9700","126.9700","126.9700"
"2017/11/10","126.9700","232.0000","126.9700","126.9700","126.9700"
"2017/11/09","127.4500","1060.0000","128.1625","128.1625","127.4500"
"2017/11/08","132.7121","0.0000","132.7121","132.7121","132.7121"
"2017/11/07","132.7121","250.0000","132.7121","132.7121","132.7121"
"2017/11/06","134.0000","390.0000","134.0000","134.0000","134.0000"
"2017/11/03","133.3000","621.0000","134.5882","134.5882","133.3000"
"2017/11/02","131.7000","0.0000","131.7000","131.7000","131.7000"
"2017/11/01","131.7000","30272.0000","131.7400","131.7400","131.7000"
"2017/10/31","130.4823","0.0000","130.4823","130.4823","130.4823"
"2017/10/30","130.4823","148.0000","130.4823","130.4823","130.4823"
