"date","close","volume","open","high","low"
"16:00","18.52","2,578,845","18.50","18.61","18.295"
"2018/01/16","18.5100","3106620.0000","18.7500","18.7500","18.4350"
"2018/01/12","18.7000","4427248.0000","18.5300","18.7000","18.4800"
"2018/01/11","18.5600","3278464.0000","18.5300","18.6450","18.4400"
"2018/01/10","18.5000","4390204.0000","18.5000","18.6500","18.4310"
"2018/01/09","18.1300","4672036.0000","17.9900","18.1600","17.9700"
"2018/01/08","18.3000","5009517.0000","18.3300","18.4200","18.2700"
"2018/01/05","18.5500","16504550.0000","19.3400","19.4000","18.5000"
"2018/01/04","19.7700","4408090.0000","19.6200","19.7900","19.6200"
"2018/01/03","19.1600","4234959.0000","19.0900","19.2100","19.0000"
"2018/01/02","19.3300","2307430.0000","19.2700","19.3300","19.1600"
"2017/12/29","19.0300","1548660.0000","19.0700","19.1000","18.9900"
"2017/12/28","19.1000","1704921.0000","19.1400","19.1700","19.0050"
"2017/12/27","19.0600","2427518.0000","19.2600","19.2600","19.0300"
"2017/12/26","19.2300","1618616.0000","19.3700","19.4000","19.1800"
"2017/12/22","19.3800","2434194.0000","19.4500","19.4600","19.2700"
"2017/12/21","19.7000","4690654.0000","19.5400","19.7600","19.5200"
"2017/12/20","19.7100","2263986.0000","19.9900","19.9901","19.6800"
"2017/12/19","19.8500","3695568.0000","20.0900","20.0900","19.8400"
"2017/12/18","20.1000","5953034.0000","19.8600","20.2250","19.8400"
"2017/12/15","19.4300","3309523.0000","19.5000","19.5350","19.3800"
"2017/12/14","19.2300","2568147.0000","19.4500","19.5000","19.2010"
"2017/12/13","19.3300","2734276.0000","19.4800","19.4800","19.3200"
"2017/12/12","19.3800","2658838.0000","19.2500","19.4400","19.2153"
"2017/12/11","19.3000","2150558.0000","19.3300","19.3500","19.2400"
"2017/12/08","19.3800","6232265.0000","19.3900","19.4200","19.2600"
"2017/12/07","18.8500","2271566.0000","18.6500","18.8850","18.6200"
"2017/12/06","18.5000","2881567.0000","18.5300","18.6550","18.4700"
"2017/12/05","18.7600","3220136.0000","18.8500","18.9300","18.7300"
"2017/12/04","19.1200","2915543.0000","19.1300","19.1800","18.9950"
"2017/12/01","18.9800","3862635.0000","18.9100","19.0600","18.7275"
"2017/11/30","18.8600","3463117.0000","19.0900","19.0950","18.8112"
"2017/11/29","19.0000","4202391.0000","18.9500","19.0801","18.8600"
"2017/11/28","18.8800","4281813.0000","18.4900","18.9200","18.4400"
"2017/11/27","18.7400","3509142.0000","18.8500","19.0300","18.7200"
