date,close,volume,open,high,low
,,,,,
16-01-18,18.51,3106620,18.75,18.75,18.435
12-01-18,18.7,4427248,18.53,18.7,18.48
11-01-18,18.56,3278464,18.53,18.645,18.44
10-01-18,18.5,4390204,18.5,18.65,18.431
09-01-18,18.13,4672036,17.99,18.16,17.97
08-01-18,18.3,5009517,18.33,18.42,18.27
05-01-18,18.55,16504550,19.34,19.4,18.5
04-01-18,19.77,4408090,19.62,19.79,19.62
03-01-18,19.16,4234959,19.09,19.21,19
02-01-18,19.33,2307430,19.27,19.33,19.16
29-12-17,19.03,1548660,19.07,19.1,18.99
28-12-17,19.1,1704921,19.14,19.17,19.005
27-12-17,19.06,2427518,19.26,19.26,19.03
26-12-17,19.23,1618616,19.37,19.4,19.18
22-12-17,19.38,2434194,19.45,19.46,19.27
21-12-17,19.7,4690654,19.54,19.76,19.52
20-12-17,19.71,2263986,19.99,19.9901,19.68
19-12-17,19.85,3695568,20.09,20.09,19.84
18-12-17,20.1,5953034,19.86,20.225,19.84
15-12-17,19.43,3309523,19.5,19.535,19.38
14-12-17,19.23,2568147,19.45,19.5,19.201
13-12-17,19.33,2734276,19.48,19.48,19.32
12-12-17,19.38,2658838,19.25,19.44,19.2153
11-12-17,19.3,2150558,19.33,19.35,19.24
08-12-17,19.38,6232265,19.39,19.42,19.26
07-12-17,18.85,2271566,18.65,18.885,18.62
06-12-17,18.5,2881567,18.53,18.655,18.47
05-12-17,18.76,3220136,18.85,18.93,18.73
04-12-17,19.12,2915543,19.13,19.18,18.995
01-12-17,18.98,3862635,18.91,19.06,18.7275
30-11-17,18.86,3463117,19.09,19.095,18.8112
29-11-17,19,4202391,18.95,19.0801,18.86
28-11-17,18.88,4281813,18.49,18.92,18.44
27-11-17,18.74,3509142,18.85,19.03,18.72
24-11-17,19.19,1581614,19.09,19.2,19.085
22-11-17,18.91,2619489,19.06,19.115,18.83
21-11-17,19.01,3395237,19.16,19.21,18.97
20-11-17,19.17,3455800,19.23,19.23,19.1
17-11-17,19.13,3857349,19.02,19.2,18.99
16-11-17,19.04,6042588,18.91,19.11,18.85
15-11-17,18.48,7096481,18.29,18.67,18.17
14-11-17,18.19,5284869,18.1,18.23,18.07
13-11-17,17.93,4344535,17.87,17.98,17.8
10-11-17,17.94,5854228,17.87,18.055,17.85
09-11-17,17.41,6491907,17.28,17.47,17.25
08-11-17,17.04,6890785,16.93,17.11,16.84
07-11-17,16.68,3516142,16.96,17.04,16.665
06-11-17,16.83,3684374,16.63,16.86,16.6
03-11-17,16.82,2476033,16.95,16.96,16.76
02-11-17,17.06,7032482,16.81,17.09,16.75
01-11-17,16.56,5090053,16.28,16.58,16.26
31-10-17,16.27,2181349,16.33,16.38,16.22
30-10-17,16.26,4408429,16.35,16.4072,16.2
27-10-17,16.32,5698360,16.46,16.52,16.3
26-10-17,16.72,6483385,16.8,16.9,16.7
25-10-17,17.12,5516992,17.33,17.35,17.02
24-10-17,17.18,6602010,17.16,17.26,17.13
23-10-17,16.63,3578483,16.73,16.75,16.59
20-10-17,16.98,2944956,16.98,17.04,16.88
19-10-17,16.87,2711369,16.81,16.88,16.74
18-10-17,16.89,2527442,16.84,16.961,16.84
17-10-17,16.71,3342985,16.72,16.82,16.69
16-10-17,16.72,3207983,16.71,16.76,16.62
13-10-17,16.58,4184512,16.63,16.725,16.55
12-10-17,16.7,2793254,16.82,16.82,16.67
11-10-17,16.92,2366034,16.92,16.98,16.83
10-10-17,16.99,2545179,16.91,17.015,16.81
09-10-17,16.87,3761383,17.03,17.035,16.814
06-10-17,17.21,3485981,17.18,17.27,17.11
05-10-17,17.22,3656197,16.9,17.24,16.88
04-10-17,16.79,3076111,16.83,16.95,16.77
03-10-17,17.07,2240680,17.1,17.13,17.01
02-10-17,17.09,3225556,16.97,17.12,16.91
29-09-17,17.28,5439993,17.11,17.29,17.1
28-09-17,16.98,4979726,17.01,17.06,16.89
27-09-17,16.57,10232940,16.37,16.65,16.31
26-09-17,16.02,4717933,16.2,16.21,16.01
25-09-17,16.04,8176905,16.28,16.37,15.99
22-09-17,16.63,1929460,16.55,16.68,16.51
21-09-17,16.69,4043971,16.56,16.735,16.54
20-09-17,16.38,4920845,16.28,16.44,16.21
19-09-17,16.56,2750379,16.48,16.59,16.43
18-09-17,16.57,2287582,16.57,16.62,16.525
15-09-17,16.54,3023054,16.6,16.665,16.51
14-09-17,16.68,2377909,16.78,16.85,16.61
13-09-17,16.78,1872532,16.93,16.945,16.75
12-09-17,16.98,5561635,16.98,17.1,16.91
