"date","close","volume","open","high","low"
"16:00","5.18","966,662","N/A","5.21","5.16"
"2018/01/16","5.0300","583773.0000","5.0750","5.1000","5.0300"
"2018/01/12","5.0800","479823.0000","5.0150","5.0800","5.0100"
"2018/01/11","5.0850","1011598.0000","5.0400","5.0900","5.0100"
"2018/01/10","5.0100","507888.0000","4.9600","5.0100","4.9600"
"2018/01/09","4.8900","495534.0000","4.8600","4.9100","4.8500"
"2018/01/08","4.8250","526216.0000","4.7950","4.8400","4.7900"
"2018/01/05","4.7700","384273.0000","4.7550","4.7780","4.7400"
"2018/01/04","4.7400","1253694.0000","4.7000","4.7550","4.6900"
"2018/01/03","4.5650","736802.0000","4.5500","4.5800","4.5300"
"2018/01/02","4.5200","366946.0000","4.5100","4.5300","4.4900"
"2017/12/29","4.4100","973530.0000","4.4500","4.4500","4.3800"
"2017/12/28","4.4800","608971.0000","4.4700","4.4900","4.4500"
"2017/12/27","4.4850","466302.0000","4.4900","4.5000","4.4600"
"2017/12/26","4.5000","247139.0000","4.5100","4.5300","4.4800"
"2017/12/22","4.5000","311759.0000","4.4400","4.5100","4.4400"
"2017/12/21","4.4600","528790.0000","4.4100","4.4800","4.4100"
"2017/12/20","4.4900","286984.0000","4.4890","4.5000","4.4800"
"2017/12/19","4.5200","167216.0000","4.5200","4.5400","4.5100"
"2017/12/18","4.5400","315443.0000","4.5050","4.5500","4.5000"
"2017/12/15","4.5400","444222.0000","4.5700","4.5800","4.5300"
"2017/12/14","4.5400","707280.0000","4.5550","4.5800","4.5400"
"2017/12/13","4.5800","322669.0000","4.5600","4.5900","4.5500"
"2017/12/12","4.5300","331645.0000","4.5540","4.5700","4.5300"
"2017/12/11","4.5150","643866.0000","4.5000","4.5200","4.4900"
"2017/12/08","4.4500","304266.0000","4.4790","4.4900","4.4400"
"2017/12/07","4.5000","443610.0000","4.4600","4.5000","4.4600"
"2017/12/06","4.4600","388260.0000","4.5200","4.5300","4.4500"
"2017/12/05","4.5200","221702.0000","4.5200","4.5400","4.5100"
"2017/12/04","4.5150","267540.0000","4.5250","4.5400","4.4900"
"2017/12/01","4.4750","474703.0000","4.5290","4.5400","4.4500"
"2017/11/30","4.4900","581857.0000","4.5750","4.5800","4.4700"
"2017/11/29","4.5500","622244.0000","4.5600","4.6300","4.5300"
"2017/11/28","4.5700","524346.0000","4.6000","4.6100","4.5700"
"2017/11/27","4.5650","468955.0000","4.5800","4.6100","4.5600"
"2017/11/24","4.5650","346301.0000","4.5720","4.5900","4.5500"
"2017/11/22","4.5050","731796.0000","4.5100","4.5300","4.4900"
"2017/11/21","4.4300","516366.0000","4.4300","4.4500","4.4225"
"2017/11/20","4.3600","436916.0000","4.3350","4.3700","4.3300"
"2017/11/17","4.3700","213382.0000","4.3600","4.3990","4.3600"
"2017/11/16","4.3500","410516.0000","4.3350","4.3600","4.3100"
"2017/11/15","4.3700","253443.0000","4.3700","4.3900","4.3500"
"2017/11/14","4.4050","270490.0000","4.4300","4.4400","4.4000"
"2017/11/13","4.4800","241938.0000","4.4600","4.4800","4.4400"
"2017/11/10","4.4500","751076.0000","4.4700","4.4700","4.4300"
"2017/11/09","4.4200","408825.0000","4.4300","4.4400","4.3800"
"2017/11/08","4.4600","546881.0000","4.4800","4.4900","4.4500"
"2017/11/07","4.4400","485058.0000","4.4700","4.4800","4.4000"
"2017/11/06","4.3600","1183583.0000","4.2700","4.3600","4.2600"
"2017/11/03","4.2600","331353.0000","4.2700","4.2900","4.2150"
"2017/11/02","4.3000","382608.0000","4.2500","4.3000","4.2400"
"2017/11/01","4.2900","385213.0000","4.3100","4.3300","4.2700"
"2017/10/31","4.2850","181269.0000","4.2700","4.3000","4.2600"
"2017/10/30","4.3000","256469.0000","4.3350","4.3500","4.2900"
"2017/10/27","4.2900","775121.0000","4.2450","4.2900","4.2300"
"2017/10/26","4.2400","363169.0000","4.2700","4.2800","4.2400"
"2017/10/25","4.2950","345979.0000","4.3000","4.3300","4.2700"
"2017/10/24","4.3400","346035.0000","4.3350","4.3600","4.3300"
"2017/10/23","4.3600","288630.0000","4.3800","4.3900","4.3500"
"2017/10/20","4.3500","510950.0000","4.3500","4.3750","4.3400"
"2017/10/19","4.3300","324336.0000","4.3400","4.3500","4.3200"
"2017/10/18","4.3600","202354.0000","4.3700","4.3800","4.3600"
"2017/10/17","4.3300","527840.0000","4.3400","4.3500","4.2900"
"2017/10/16","4.4000","257385.0000","4.3960","4.4000","4.3700"
"2017/10/13","4.3750","274228.0000","4.3700","4.3900","4.3500"
"2017/10/12","4.3050","201468.0000","4.3110","4.3225","4.3000"
"2017/10/11","4.3100","567309.0000","4.3060","4.3200","4.2900"
"2017/10/10","4.2700","345701.0000","4.2800","4.2800","4.2500"
"2017/10/09","4.2350","552465.0000","4.2100","4.2500","4.2000"
"2017/10/06","4.2000","463359.0000","4.2250","4.2300","4.1900"
"2017/10/05","4.2600","369306.0000","4.2200","4.2700","4.2100"
"2017/10/04","4.1900","237191.0000","4.1700","4.1900","4.1500"
"2017/10/03","4.1500","306305.0000","4.1600","4.1600","4.1400"
"2017/10/02","4.1650","338904.0000","4.1650","4.1800","4.1500"
"2017/09/29","4.1900","534665.0000","4.1800","4.2100","4.1700"
"2017/09/28","4.2000","400441.0000","4.1850","4.2000","4.1500"
"2017/09/27","4.2100","374784.0000","4.1950","4.2100","4.1700"
"2017/09/26","4.2300","396614.0000","4.2300","4.2500","4.2000"
"2017/09/25","4.2500","2170549.0000","4.2500","4.2600","4.2200"
"2017/09/22","4.1800","1458597.0000","4.1900","4.2000","4.1600"
"2017/09/21","4.1600","632697.0000","4.1700","4.1800","4.1500"
"2017/09/20","4.1400","2265956.0000","4.1500","4.1900","4.1300"
"2017/09/19","4.1400","676070.0000","4.1500","4.1600","4.1200"
"2017/09/18","4.1700","2005025.0000","4.2000","4.2185","4.1600"
"2017/09/15","4.2000","524239.0000","4.2000","4.2100","4.1800"
"2017/09/14","4.2400","3834480.0000","4.2300","4.2420","4.2100"
"2017/09/13","4.2200","2053058.0000","4.2200","4.2600","4.2000"
"2017/09/12","4.1600","1061005.0000","4.1700","4.1800","4.1600"
"2017/09/11","4.1700","1822925.0000","4.1700","4.2000","4.1550"
"2017/09/08","4.1500","811161.0000","4.1600","4.1900","4.1400"
"2017/09/07","4.1100","412011.0000","4.1100","4.1400","4.1000"
"2017/09/06","4.0500","397872.0000","3.9950","4.0700","3.9900"
"2017/09/05","3.9900","360994.0000","4.0000","4.0100","3.9600"
"2017/09/01","4.0300","269380.0000","4.0300","4.0400","4.0100"
"2017/08/31","3.9900","338806.0000","4.0200","4.0300","3.9900"
"2017/08/30","3.9700","331357.0000","3.9700","3.9900","3.9550"
"2017/08/29","3.9900","626276.0000","3.9400","4.0000","3.9400"
"2017/08/28","3.9900","327164.0000","3.9850","4.0000","3.9600"
"2017/08/25","3.9800","331459.0000","3.9300","3.9800","3.9200"
"2017/08/24","3.9000","244293.0000","3.9000","3.9000","3.8700"
"2017/08/23","3.8700","491440.0000","3.8600","3.8900","3.8400"
"2017/08/22","3.8900","420236.0000","3.8850","3.9000","3.8600"
"2017/08/21","3.8500","330933.0000","3.8900","3.8900","3.8500"
"2017/08/18","3.8800","725148.0000","3.8400","3.9100","3.8300"
"2017/08/17","3.8400","158054.0000","3.8900","3.8900","3.8400"
"2017/08/16","3.8550","1235854.0000","3.8860","3.9000","3.8362"
"2017/08/15","3.8600","768178.0000","3.8500","3.8900","3.8400"
"2017/08/14","3.8600","445524.0000","3.8900","3.9100","3.8500"
"2017/08/11","3.8600","493521.0000","3.8490","3.8900","3.8300"
"2017/08/10","3.8850","247797.0000","3.9300","3.9500","3.8800"
"2017/08/09","3.9200","426074.0000","3.9050","3.9300","3.8700"
"2017/08/08","3.9600","225620.0000","3.9390","3.9700","3.9300"
"2017/08/07","3.9600","140866.0000","3.9500","3.9700","3.9300"
"2017/08/04","3.9500","278860.0000","3.9250","3.9600","3.9200"
"2017/08/03","3.9400","679414.0000","3.9500","3.9600","3.9250"
"2017/08/02","3.9210","1177583.0000","3.8750","3.9300","3.8600"
"2017/08/01","3.8950","247310.0000","3.9000","3.9100","3.8800"
"2017/07/31","3.9100","605204.0000","3.8400","3.9200","3.8300"
"2017/07/28","3.8750","783393.0000","3.8300","3.8800","3.8200"
"2017/07/27","3.9100","893756.0000","3.9600","3.9700","3.9000"
"2017/07/26","3.9600","536249.0000","3.9300","3.9800","3.9000"
"2017/07/25","3.9200","448560.0000","3.9100","3.9400","3.8900"
"2017/07/24","3.9150","1328932.0000","3.9100","3.9500","3.9000"
"2017/07/21","4.0000","603909.0000","4.0100","4.0200","3.9700"
"2017/07/20","4.0400","326105.0000","4.0550","4.0700","4.0100"
"2017/07/19","4.0300","373827.0000","4.0100","4.0400","4.0000"
"2017/07/18","4.1800","671941.0000","4.1800","4.1900","4.1400"
