date,close,volume,open,high,low
16-01-18,173.68,3662028,173.62,174.41,172.88
12-01-18,173.57,2900567,173.36,173.79,172.88
11-01-18,173.39,3071283,173.56,174.55,172.1
10-01-18,173.51,2173176,173.5,174,172.47
09-01-18,173.54,2673967,174.23,174.23,173.01
08-01-18,173.93,2060258,173.74,174.21,172.93
05-01-18,174.05,3737690,174,175,173.4
04-01-18,173.7,2756158,173.24,174.13,172.73
03-01-18,172.49,3789382,173.23,173.64,172
02-01-18,173.22,3696390,173.73,174.4799,172.66
29-12-17,172.12,2201758,172.98,172.98,171.92
28-12-17,173.1,1800068,173.26,173.55,172.62
27-12-17,172.67,1596297,171.33,172.74,170.845
26-12-17,171.29,1280127,171.09,171.64,170.82
22-12-17,171.42,3234099,171.82,172.04,170.55
21-12-17,171.85,2337435,172.6,172.75,171.67
20-12-17,172.17,2749381,173.83,173.88,171.71
19-12-17,173.39,3122060,174.39,174.9,173.08
18-12-17,174.2,2426217,174.87,175.78,174.11
15-12-17,174.06,7431192,174.3,175.09,173.68
14-12-17,173.14,2666925,173.66,174.08,172.83
13-12-17,173.55,2553974,172.44,173.96,172.4
12-12-17,172.23,2802572,173,173.2,171.85
11-12-17,173.25,2340625,172.94,173.25,172.22
08-12-17,173.15,2241049,173.05,173.5429,172.51
07-12-17,172.91,2283365,172.55,173.29,171.92
06-12-17,173.48,2619210,173.39,174.44,173
05-12-17,172.99,3228566,173.39,174.25,172.46
04-12-17,170.65,3942690,173.27,173.48,170.43
01-12-17,172.87,4278043,172.77,173.15,170.39
30-11-17,171.97,6021625,170.24,173.17,169.34
29-11-17,170.43,4585501,171.7,172.02,169.05
28-11-17,171.34,2909353,169.23,171.38,169.04
27-11-17,168.96,2082510,168.9,169.18,168.09
24-11-17,169.11,963233,168.88,169.56,168.82
22-11-17,169.05,2719456,169.27,170.35,168.6692
21-11-17,168.3,2651448,167.55,169.26,167.51
20-11-17,166.93,2442259,167.33,167.85,166.76
17-11-17,166.72,2221317,167.54,167.7001,166.16
16-11-17,168.09,2291316,167.68,168.89,167.53
