date,close,volume,open,high,low
,,,,,
16-01-18,340.06,6429234,337.54,345,334.8
12-01-18,336.22,4822509,338.63,340.41,333.67
11-01-18,337.95,6640863,335.24,344.8099,333.26
10-01-18,334.8,4303053,332.2,337,330
09-01-18,333.69,7134525,335.16,338.8,327.405
08-01-18,336.41,9832610,316,337.0199,315.5
05-01-18,316.58,4588728,316.62,317.24,312
04-01-18,314.62,9944593,312.87,318.55,305.68
03-01-18,317.25,4438520,321,325.25,315.55
02-01-18,320.53,4345615,312,322.1099,311
29-12-17,311.35,3769504,316.18,316.41,310
28-12-17,315.36,4306746,311.75,315.82,309.54
27-12-17,311.64,4705084,316,317.68,310.75
26-12-17,317.29,4368699,323.83,323.94,316.58
22-12-17,325.2,4207602,329.51,330.9214,324.82
21-12-17,331.66,4369994,329.59,333.74,327.21
20-12-17,328.98,5907378,332.69,333.1,325.04
19-12-17,331.1,6820868,340.26,341.4925,330.3
18-12-17,338.87,5466546,344.9,346.73,337.58
15-12-17,343.45,6921246,342.04,343.9,335.76
14-12-17,337.89,5792024,341.01,347.44,336.9
13-12-17,339.03,6217701,340.93,344.22,336.5
12-12-17,341.03,8715570,330.45,341.44,330.03
11-12-17,328.91,7926090,314.63,329.01,313.75
08-12-17,315.13,3466088,314.6,316.98,311.26
07-12-17,311.24,4779590,312,318.6341,311.05
06-12-17,313.26,7184477,300.1,313.39,300
05-12-17,303.7,4643708,302,308,301
04-12-17,305.2,5834227,306.5,308.265,300.61
01-12-17,306.53,4286082,305.44,310.32,305.05
30-11-17,308.85,4345434,308.56,310.7,304.54
29-11-17,307.54,8757463,317.3,318,301.23
28-11-17,317.55,4941703,316.36,320,313.92
27-11-17,316.81,4537779,313.25,317.34,309.51
24-11-17,315.55,3244065,313.79,316.41,311
22-11-17,312.6,4913283,316.77,317.42,311.84
21-11-17,317.81,7256381,310.86,318.23,308.71
20-11-17,308.74,8241821,313.79,315.5,304.75
17-11-17,315.05,13720830,325.67,326.67,313.15
16-11-17,312.5,5794409,313.99,318.14,311.3
15-11-17,311.3,5951835,306.01,312.49,301.5
14-11-17,308.7,5661904,315,316.35,306.9
13-11-17,315.4,7565242,300.13,316.8,299.11
10-11-17,302.99,4621080,302.5,308.36,301.85
09-11-17,302.99,5440173,302.5,304.46,296.3
08-11-17,304.39,4725355,305.5,306.89,301.3001
07-11-17,306.05,5284844,301.02,306.5,300.03
06-11-17,302.78,6480689,307,307.5,299.01
03-11-17,306.09,8885933,299.5,306.25,295.13
02-11-17,299.26,19771280,300.13,308.69,292.63
01-11-17,321.08,8242487,332.25,332.6089,320.26
31-10-17,331.53,5650062,320.23,331.95,320.18
30-10-17,320.08,4247619,319.18,323.78,317.25
27-10-17,320.87,6968365,319.75,324.59,316.66
26-10-17,326.17,5010087,327.78,330.23,323.2
25-10-17,325.84,8583619,336.7,337.5,323.56
24-10-17,337.34,4485692,338.8,342.8,336.16
23-10-17,337.02,5739598,349.88,349.95,336.25
20-10-17,345.1,4925657,352.69,354.55,344.34
19-10-17,351.81,5055715,355.56,357.1465,348.2
18-10-17,359.65,4936024,355.97,363,354.13
17-10-17,355.75,3290290,350.91,356.22,350.07
16-10-17,350.6,5373090,353.76,354.48,347.16
13-10-17,355.57,3538807,356.98,358.49,353.68
12-10-17,355.68,4073552,352.95,359.78,352.64
11-10-17,354.6,4494733,353.89,357.6,351.15
10-10-17,355.59,6972263,346.8,355.63,345.5305
09-10-17,342.94,7461461,349.65,351.75,342.67
06-10-17,356.88,4272866,353.1,360.0992,352.25
05-10-17,355.33,4167913,356,357.435,351.35
04-10-17,355.01,8147995,351.25,358.62,349.6
03-10-17,348.14,10122550,335.9,348.55,331.28
02-10-17,341.53,5227547,342.52,343.7,335.51
29-09-17,341.1,5099051,341.86,344.68,338.601
28-09-17,339.6,5309779,339.88,342.75,335.4
27-09-17,340.97,6027375,349.9,351.489,340.5
26-09-17,345.25,7149649,350.93,351.24,340.9
25-09-17,344.99,7587158,353.15,357.469,342.88
22-09-17,351.09,8142895,366.49,369.8999,350.88
21-09-17,366.48,4610872,374.9,376.83,364.51
20-09-17,373.91,4909958,373,378.249,371.07
19-09-17,375.1,6435208,380,382.39,373.57
18-09-17,385,7177773,380.25,389.61,377.68
15-09-17,379.81,5407227,374.51,380,372.7
14-09-17,377.64,7170263,364.33,377.96,362.63
13-09-17,366.23,4171185,363.82,368.07,359.59
12-09-17,362.75,5966204,364.49,368.76,360.4
11-09-17,363.69,7651000,351.35,363.71,350
