"date","close","volume","open","high","low"
"16:00","140.72","394,653","140.13","140.99","139.65"
"2018/01/16","137.9700","257889.0000","139.2000","139.5000","137.5900"
"2018/01/12","137.2000","101568.0000","136.6900","137.2000","136.4400"
"2018/01/11","136.9100","180325.0000","136.6900","136.9100","135.6300"
"2018/01/10","136.4000","389510.0000","136.7300","137.2900","136.0900"
"2018/01/09","133.7200","148087.0000","133.8200","133.8300","133.0900"
"2018/01/08","134.7700","131264.0000","133.9800","134.7900","133.6200"
"2018/01/05","133.8600","135309.0000","133.1100","133.8700","133.0800"
"2018/01/04","132.1600","159798.0000","131.3100","132.1600","131.3000"
"2018/01/03","130.1300","162249.0000","128.6800","130.2356","128.5600"
"2018/01/02","128.3700","83545.0000","127.4300","128.4300","127.1700"
"2017/12/29","127.1700","122122.0000","128.4400","128.4400","127.1100"
"2017/12/28","128.2700","102319.0000","128.1100","128.4300","127.5200"
"2017/12/27","128.2300","77854.0000","127.9700","128.3000","127.8700"
"2017/12/26","127.9800","48517.0000","128.0000","128.1550","127.8200"
"2017/12/22","128.3200","75810.0000","128.1200","128.3400","127.7400"
"2017/12/21","128.2800","180859.0000","128.2400","128.4400","128.0600"
"2017/12/20","127.6300","103923.0000","128.0000","128.0100","127.3300"
"2017/12/19","127.0100","90907.0000","127.5100","127.7000","126.8000"
"2017/12/18","127.3200","160949.0000","126.8700","127.4350","126.7400"
"2017/12/15","124.3400","127506.0000","124.2300","124.6600","124.1700"
"2017/12/14","125.0000","339479.0000","125.6100","125.7500","124.9100"
"2017/12/13","124.9200","83173.0000","124.7300","125.2600","124.6900"
"2017/12/12","124.2500","110142.0000","123.9200","124.5200","123.8000"
"2017/12/11","123.9300","89722.0000","124.1900","124.1900","123.7200"
"2017/12/08","124.4500","125092.0000","124.1700","124.5000","124.0200"
"2017/12/07","123.3900","113595.0000","123.3900","123.5800","122.8500"
"2017/12/06","122.9700","95709.0000","123.0000","123.2800","122.6300"
"2017/12/05","123.6800","190269.0000","124.0400","124.8400","123.1300"
"2017/12/04","123.9200","243396.0000","124.7000","124.9550","123.7100"
"2017/12/01","124.3600","201265.0000","125.4000","125.5900","123.6800"
"2017/11/30","126.3400","110645.0000","126.4000","126.8900","126.2000"
"2017/11/29","126.5500","128177.0000","126.6000","127.1000","126.0700"
"2017/11/28","126.9600","101001.0000","126.5100","126.9600","126.3200"
"2017/11/27","125.9800","104773.0000","126.2100","126.4000","125.8708"
"2017/11/24","126.0500","57675.0000","126.2900","126.4000","125.8600"
"2017/11/22","126.0800","115178.0000","126.3000","126.6200","125.8000"
"2017/11/21","125.7800","163458.0000","125.2000","125.9200","125.0600"
"2017/11/20","124.2900","108024.0000","123.8500","124.5400","123.8500"
"2017/11/17","123.2900","212584.0000","123.3200","123.6500","123.0800"
"2017/11/16","124.3700","140290.0000","123.9800","124.6800","123.8400"
"2017/11/15","123.6600","106457.0000","122.9500","123.8100","122.4900"
"2017/11/14","124.8700","164408.0000","125.3500","125.4400","124.7200"
"2017/11/13","125.6700","156441.0000","124.8500","125.7600","124.8000"
"2017/11/10","124.4900","123151.0000","124.8000","124.9000","124.4100"
"2017/11/09","125.4600","303854.0000","125.4200","125.7000","124.6300"
"2017/11/08","127.9800","179330.0000","127.1200","128.1100","127.0500"
"2017/11/07","127.4600","335107.0000","126.7500","127.5000","125.5900"
"2017/11/06","125.6300","103424.0000","125.5100","125.7500","125.3400"
"2017/11/03","125.6200","115351.0000","125.5100","125.6300","125.0200"
"2017/11/02","125.3100","153058.0000","125.0500","125.4899","124.9400"
"2017/11/01","124.4300","194195.0000","124.2900","124.9200","124.1800"
"2017/10/31","124.0000","110407.0000","123.9800","124.1350","123.6700"
"2017/10/30","124.3900","113514.0000","124.2500","124.4400","124.0700"
"2017/10/27","124.2300","101838.0000","123.8800","124.2400","123.6700"
"2017/10/26","123.8500","123088.0000","123.5800","124.0900","123.5400"
"2017/10/25","122.3400","176531.0000","123.2400","123.2400","122.0200"
"2017/10/24","123.8800","133317.0000","123.8900","124.0100","123.6000"
"2017/10/23","122.7700","154423.0000","123.1800","123.2900","122.6100"
"2017/10/20","123.7100","111620.0000","123.4100","123.7200","123.3600"
"2017/10/19","123.0700","121022.0000","123.1600","123.3200","122.7700"
"2017/10/18","124.2600","127456.0000","123.9000","124.3172","123.8400"
"2017/10/17","123.3100","107340.0000","123.3200","123.6700","123.1800"
"2017/10/16","123.4200","101341.0000","123.3000","123.5000","123.0100"
"2017/10/13","123.3800","333822.0000","123.4200","123.5600","123.0272"
"2017/10/12","123.1900","151153.0000","123.4800","123.6800","123.0700"
"2017/10/11","123.5600","193846.0000","123.5000","123.8400","123.2900"
"2017/10/10","124.0800","472370.0000","123.8600","124.1800","123.8200"
"2017/10/09","121.6700","152000.0000","121.7700","122.1200","121.6000"
"2017/10/06","121.8700","126741.0000","121.5900","121.8909","121.3000"
"2017/10/05","120.8400","108006.0000","120.7300","120.9000","120.5000"
