"date","close","volume","open","high","low"
"16:00","55.73","4,234,953","55.86","56.10","55.47"
"2018/01/16","55.0300","802958.0000","54.7500","55.1400","54.7500"
"2018/01/12","54.5200","1352502.0000","54.2500","54.5700","54.1500"
"2018/01/11","54.0200","1230475.0000","54.2400","54.4200","53.9900"
"2018/01/10","54.0900","1125703.0000","54.4100","54.4300","53.8600"
"2018/01/09","55.0700","996675.0000","55.2400","55.3300","54.9300"
"2018/01/08","55.6300","842111.0000","55.3200","55.6400","55.3200"
"2018/01/05","55.5400","901610.0000","55.3000","55.6090","55.2200"
"2018/01/04","55.1100","1623261.0000","55.0000","55.4100","54.9550"
"2018/01/03","54.7800","951155.0000","54.8500","54.9510","54.6800"
"2018/01/02","54.8500","1020061.0000","55.1900","55.2100","54.8000"
"2017/12/29","55.3400","525925.0000","55.6700","55.6900","55.3200"
"2017/12/28","55.3100","587888.0000","55.6100","55.6200","55.2700"
"2017/12/27","55.4200","461787.0000","55.3200","55.6200","55.3000"
"2017/12/26","55.4800","323551.0000","55.3500","55.5950","55.2801"
"2017/12/22","55.2800","537956.0000","55.2100","55.3364","55.1300"
"2017/12/21","55.1500","820983.0000","55.1200","55.4438","55.0600"
"2017/12/20","55.4200","845411.0000","55.6900","55.7000","55.2800"
"2017/12/19","55.7500","812166.0000","56.2200","56.3500","55.7300"
"2017/12/18","56.2200","915452.0000","56.1800","56.5600","56.1000"
"2017/12/15","55.9600","967807.0000","55.7300","56.1187","55.5300"
"2017/12/14","55.4600","904389.0000","55.8900","56.1000","55.4500"
"2017/12/13","56.3600","1074468.0000","55.9700","56.5300","55.9400"
"2017/12/12","56.0800","1054302.0000","56.0300","56.2600","55.9400"
"2017/12/11","56.1500","799105.0000","56.0600","56.1700","55.8500"
"2017/12/08","56.3100","956167.0000","56.0300","56.3400","55.8400"
"2017/12/07","55.9600","2058019.0000","56.1700","56.3200","55.9200"
"2017/12/06","56.0700","3364480.0000","55.9700","56.2700","55.9000"
"2017/12/05","55.8600","1588114.0000","55.9500","56.1500","55.6700"
"2017/12/04","56.0000","1259341.0000","55.9200","56.0600","55.6300"
"2017/12/01","55.8600","1126663.0000","56.0400","56.1100","55.4100"
"2017/11/30","56.4800","931351.0000","56.7700","56.8000","56.2200"
"2017/11/29","56.6800","1494308.0000","57.2400","57.2400","56.4900"
"2017/11/28","57.5400","1222558.0000","57.5000","57.6000","57.1300"
"2017/11/27","56.6500","885169.0000","57.1700","57.1800","56.4300"
"2017/11/24","56.8500","586990.0000","56.6100","56.8800","56.6100"
"2017/11/22","55.8400","745775.0000","56.2600","56.2700","55.5650"
"2017/11/21","56.0100","1353124.0000","55.8700","56.1700","55.8400"
"2017/11/20","55.3300","1973401.0000","55.6000","56.0215","55.3100"
"2017/11/17","55.0000","998249.0000","55.2800","55.3500","54.8000"
"2017/11/16","55.7600","734172.0000","55.8100","55.9300","55.5900"
"2017/11/15","55.5100","659364.0000","55.8800","55.8900","55.4100"
"2017/11/14","55.8100","818825.0000","55.4600","55.8800","55.4500"
"2017/11/13","55.8600","827458.0000","55.5900","56.0000","55.5800"
"2017/11/10","56.0600","868445.0000","55.6600","56.1100","55.6400"
"2017/11/09","56.1300","1086065.0000","55.9500","56.4100","55.5990"
"2017/11/08","56.2100","649023.0000","55.5500","56.2400","55.5300"
