date,close,volume,open,high,low
,,,,,
16-01-18,55.03,802958,54.75,55.14,54.75
12-01-18,54.52,1352502,54.25,54.57,54.15
11-01-18,54.02,1230475,54.24,54.42,53.99
10-01-18,54.09,1125703,54.41,54.43,53.86
09-01-18,55.07,996675,55.24,55.33,54.93
08-01-18,55.63,842111,55.32,55.64,55.32
05-01-18,55.54,901610,55.3,55.609,55.22
04-01-18,55.11,1623261,55,55.41,54.955
03-01-18,54.78,951155,54.85,54.951,54.68
02-01-18,54.85,1020061,55.19,55.21,54.8
29-12-17,55.34,525925,55.67,55.69,55.32
28-12-17,55.31,587888,55.61,55.62,55.27
27-12-17,55.42,461787,55.32,55.62,55.3
26-12-17,55.48,323551,55.35,55.595,55.2801
22-12-17,55.28,537956,55.21,55.3364,55.13
21-12-17,55.15,820983,55.12,55.4438,55.06
20-12-17,55.42,845411,55.69,55.7,55.28
19-12-17,55.75,812166,56.22,56.35,55.73
18-12-17,56.22,915452,56.18,56.56,56.1
15-12-17,55.96,967807,55.73,56.1187,55.53
14-12-17,55.46,904389,55.89,56.1,55.45
13-12-17,56.36,1074468,55.97,56.53,55.94
12-12-17,56.08,1054302,56.03,56.26,55.94
11-12-17,56.15,799105,56.06,56.17,55.85
08-12-17,56.31,956167,56.03,56.34,55.84
07-12-17,55.96,2058019,56.17,56.32,55.92
06-12-17,56.07,3364480,55.97,56.27,55.9
05-12-17,55.86,1588114,55.95,56.15,55.67
04-12-17,56,1259341,55.92,56.06,55.63
01-12-17,55.86,1126663,56.04,56.11,55.41
30-11-17,56.48,931351,56.77,56.8,56.22
29-11-17,56.68,1494308,57.24,57.24,56.49
28-11-17,57.54,1222558,57.5,57.6,57.13
27-11-17,56.65,885169,57.17,57.18,56.43
24-11-17,56.85,586990,56.61,56.88,56.61
22-11-17,55.84,745775,56.26,56.27,55.565
21-11-17,56.01,1353124,55.87,56.17,55.84
20-11-17,55.33,1973401,55.6,56.0215,55.31
17-11-17,55,998249,55.28,55.35,54.8
16-11-17,55.76,734172,55.81,55.93,55.59
15-11-17,55.51,659364,55.88,55.89,55.41
14-11-17,55.81,818825,55.46,55.88,55.45
13-11-17,55.86,827458,55.59,56,55.58
10-11-17,56.06,868445,55.66,56.11,55.64
09-11-17,56.13,1086065,55.95,56.41,55.599
08-11-17,56.21,649023,55.55,56.24,55.53
07-11-17,55.61,721111,55.5,55.715,55.34
06-11-17,55.78,757818,55.78,55.89,55.6
03-11-17,55.84,909945,55.92,56.12,55.74
02-11-17,55.71,1669369,55.74,55.76,55.3
01-11-17,56.18,1141175,56.55,56.65,56.15
31-10-17,56.65,934036,56.28,56.79,56.23
30-10-17,55.52,1029861,55.46,55.621,55.23
27-10-17,55.53,939740,55.22,55.56,54.85
26-10-17,55.46,1309139,55.17,55.73,55
25-10-17,54.28,1936709,54.14,54.3801,53.97
24-10-17,54.11,2232837,54.38,54.44,53.94
23-10-17,54.28,2937657,54.63,54.65,54.15
20-10-17,54.79,2439423,55.42,55.42,54.7359
19-10-17,56.04,3736590,57.19,57.24,55.76
18-10-17,59.86,1000309,59.84,60.025,59.68
17-10-17,59.49,961368,59.53,59.54,59.23
16-10-17,59.84,1568839,59.86,59.88,59.58
13-10-17,59.92,1406068,60.04,60.13,59.73
12-10-17,59.35,1011347,58.87,59.4301,58.79
11-10-17,58.33,846499,58.13,58.39,58.08
10-10-17,57.85,2673593,57.77,57.8797,57.6
09-10-17,57.08,1226051,57.24,57.3,57.035
06-10-17,56.99,2372320,57.2,57.2945,56.96
05-10-17,57.72,1535874,57.84,57.95,57.6
04-10-17,57.76,1579551,57.78,57.83,57.695
03-10-17,57.76,859145,57.83,57.895,57.67
02-10-17,57.92,1169832,58,58.24,57.88
29-09-17,57.96,1202292,57.83,58.08,57.77
28-09-17,57.31,732379,57.04,57.46,56.985
27-09-17,56.99,1061606,56.95,57.16,56.86
26-09-17,57.27,924971,57.42,57.44,57.1
25-09-17,57.5,1106375,57.49,57.75,57.4
