date,close,volume,open,high,low
,,,,,
16-01-18,225.84,1214,225,229.05,224.9
12-01-18,219.5,613,217.75,221.9,217.75
11-01-18,215.17,8270,211.7,216.4,211.7
10-01-18,216.3,794,214,216.3,211.09
09-01-18,214.78,99,214.95,215,214.78
08-01-18,213.75,1854,212.8,217.2,212.8
05-01-18,215,4155,212.55,216.2,212.55
04-01-18,210.25,164,208.85,210.25,208.8
03-01-18,205.45,237,204.74,207.81,204.74
02-01-18,204.1,552,203.2,204.1,200.15
29-12-17,201.51,330,201.96,201.96,201
28-12-17,202.35,62,202.21,202.35,202.21
27-12-17,204,42,200.15,204,200.15
26-12-17,205.75,585,201.95,205.75,201.95
22-12-17,199.75,408,200.05,203.95,199.75
21-12-17,201,111,202,202,201
20-12-17,202.125,287,204.8,204.8,200.9
19-12-17,206.75,493,204,207.25,204
18-12-17,203.56,631,205,205,203.55
15-12-17,200.95,191,201.1,201.1,197.75
14-12-17,202.5,677,202,203.8,199.1
13-12-17,201.85,429,199.95,201.85,199.5705
12-12-17,200.85,800,199.99,200.85,196.3
11-12-17,200.4,1794,201,202.35,200
08-12-17,200,13,199,201,199
07-12-17,195,68,194.7,198.7,194.7
06-12-17,195,409,197.359,197.55,193.3
05-12-17,200.1,888,198.15,202.25,198.15
04-12-17,203,546,202.5,204.05,200.1
01-12-17,202,403,205.1,205.1,201.75
30-11-17,210,493,206.9,210,206.25
29-11-17,205,1752,203.05,205.65,201.95
28-11-17,201.92,271,201.897,202,201.225
27-11-17,203.1,315,202.7,203.1,199.5
24-11-17,202,505,202,202,202
22-11-17,197.77,838,201.3,201.3,195.9
21-11-17,201.55,859,203.35,203.35,197.9
20-11-17,193.85,2603,195.2,195.775,193.85
17-11-17,190,91,190,190,188.02
16-11-17,190.3,699,188.25,190.3,186.75
15-11-17,186.95,448,185,186.95,182.95
14-11-17,185,10,184.4,185,184.4
13-11-17,187.1,454,181.35,187.1,181.35
10-11-17,183.75,127,186.75,187.75,183.75
09-11-17,186.75,213,186.1,188,186
08-11-17,185.96,955,187.4,189.8,185.95
07-11-17,188,412,191,192.2,188
06-11-17,193.7,80,189.55,193.7,189.55
03-11-17,191,108,195.45,195.45,191
02-11-17,192,366,197,197.65,192
